id,description,delta_L,delta_U,delta_V
0,RED handle,0.0,45.30400801666679,2.2081055997562062
1,"between RED and YELLOW, step 1 of 5",0.0,44.57649568487194,11.025903391501389
2,"between RED and YELLOW, step 2 of 5",0.0,42.694740102813135,19.671239013587495
3,"between RED and YELLOW, step 3 of 5",0.0,39.63477568334325,27.97301291083334
4,"between RED and YELLOW, step 4 of 5",0.0,35.372040056783476,35.726200453279866
5,"between RED and YELLOW, step 5 of 5",0.0,29.897177811347095,42.67664759608468
6,YELLOW handle,0.0,23.245838369923515,48.51124404491406
7,"between YELLOW and GREEN, step 1 of 5",0.0,15.54539019881734,52.86852875587553
8,"between YELLOW and GREEN, step 2 of 5",0.0,7.065500398230156,55.39326657530833
9,"between YELLOW and GREEN, step 3 of 5",0.0,-1.7708823537837501,55.841788535546996
10,"between YELLOW and GREEN, step 4 of 5",0.0,-10.461969785024724,54.18413014215614
11,"between YELLOW and GREEN, step 5 of 5",0.0,-18.557434321904815,50.61393602721401
12,GREEN handle,0.0,-25.74731563678954,45.457538179388806
13,"between GREEN and CYAN, step 1 of 5",0.0,-31.865350191240655,39.06594328619317
14,"between GREEN and CYAN, step 2 of 5",0.0,-36.84453482268064,31.752219713715025
15,"between GREEN and CYAN, step 3 of 5",0.0,-40.67058549746014,23.774490191929065
16,"between GREEN and CYAN, step 4 of 5",0.0,-43.350231054783066,15.342270331420279
17,"between GREEN and CYAN, step 5 of 5",0.0,-44.89335593351362,6.630118031469099
18,CYAN handle,0.0,-45.304008016666785,-2.208105599756771
19,"between CYAN and BLUE, step 1 of 5",0.0,-44.57649568487186,-11.02590339150186
20,"between CYAN and BLUE, step 2 of 5",0.0,-42.69474010281299,-19.671239013587964
21,"between CYAN and BLUE, step 3 of 5",0.0,-39.63477568334308,-27.973012910833727
22,"between CYAN and BLUE, step 4 of 5",0.0,-35.37204005678323,-35.72620045328024
23,"between CYAN and BLUE, step 5 of 5",0.0,-29.897177811346822,-42.67664759608496
24,BLUE handle,0.0,-23.245838369923167,-48.511244044914314
25,"between BLUE and MAGENTA, step 1 of 5",0.0,-15.545390198816976,-52.86852875587569
26,"between BLUE and MAGENTA, step 2 of 5",0.0,-7.065500398229713,-55.39326657530841
27,"between BLUE and MAGENTA, step 3 of 5",0.0,1.7708823537842133,-55.84178853554697
28,"between BLUE and MAGENTA, step 4 of 5",0.0,10.461969785025188,-54.184130142156
29,"between BLUE and MAGENTA, step 5 of 5",0.0,18.557434321905244,-50.613936027213754
30,MAGENTA handle,0.0,25.747315636789907,-45.457538179388486
31,"between MAGENTA and RED, step 1 of 5",0.0,31.865350191240978,-39.06594328619278
32,"between MAGENTA and RED, step 2 of 5",0.0,36.844534822680856,-31.75221971371464
33,"between MAGENTA and RED, step 3 of 5",0.0,40.670585497460316,-23.77449019192862
34,"between MAGENTA and RED, step 4 of 5",0.0,43.35023105478317,-15.342270331419808
35,"between MAGENTA and RED, step 5 of 5",0.0,44.893355933513675,-6.630118031468575
