target_id,segment_idx,handle_index,handle_label,source_handle_group_ids,next_handle_label,next_handle_group_ids,segment_position,is_handle,path_s,fit_u,fit_v,adjacent_arc_length,adjacent_chord_length
0,0,0,RED,"3,9,15",YELLOW,"4,10,16",0,True,243.29966564265328,45.30400801666679,2.2081055997562062,8.853966553243339,8.84775859124896
1,0,0,RED,"3,9,15",YELLOW,"4,10,16",1,False,252.15363219589662,44.57649568487194,11.025903391501389,8.85445358338195,8.847758591254648
2,0,0,RED,"3,9,15",YELLOW,"4,10,16",2,False,261.0080857792786,42.694740102813135,19.671239013587495,8.855347233265334,8.847758591271246
3,0,0,RED,"3,9,15",YELLOW,"4,10,16",3,False,269.8634330125439,39.63477568334325,27.97301291083334,8.856765511370172,8.847758591320739
4,0,0,RED,"3,9,15",YELLOW,"4,10,16",4,False,278.72019852391406,35.372040056783476,35.726200453279866,8.858844451008645,8.847758591385066
5,0,0,RED,"3,9,15",YELLOW,"4,10,16",5,False,287.5790429749227,29.897177811347095,42.67664759608468,8.861666474932155,8.847758591063013
6,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",0,True,296.44070944985486,23.245838369923515,48.51124404491406,8.864996639282007,8.847758591206647
7,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",1,False,305.3057060891369,15.54539019881734,52.86852875587553,8.867987126504563,8.84775859113351
8,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",2,False,314.17369321564144,7.065500398230156,55.39326657530833,8.869295897093194,8.847758591242483
9,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",3,False,323.04298911273463,-1.7708823537837501,55.841788535546996,8.868162398929663,8.847758591115264
10,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",4,False,331.9111515116643,-10.461969785024724,54.18413014215614,8.865251275564985,8.84775859109247
11,1,1,YELLOW,"4,10,16",GREEN,"5,11,17",5,False,340.77640278722924,-18.557434321904815,50.61393602721401,8.861906408798633,8.847758591145269
12,2,2,GREEN,"5,11,17",CYAN,"6,12,18",0,True,349.6383091960279,-25.74731563678954,45.457538179388806,8.859034090281598,8.847758591201638
13,2,2,GREEN,"5,11,17",CYAN,"6,12,18",1,False,358.4973432863095,-31.865350191240655,39.06594328619317,8.856897245016956,8.847758591224707
14,2,2,GREEN,"5,11,17",CYAN,"6,12,18",2,False,367.35424053132647,-36.84453482268064,31.752219713715025,8.855435116524792,8.847758591234046
15,2,2,GREEN,"5,11,17",CYAN,"6,12,18",3,False,376.20967564785127,-40.67058549746014,23.774490191929065,8.854505604756364,8.847758591238762
16,2,2,GREEN,"5,11,17",CYAN,"6,12,18",4,False,385.0641812526076,-43.350231054783066,15.342270331420279,8.853990978504692,8.847758591242293
17,2,2,GREEN,"5,11,17",CYAN,"6,12,18",5,False,393.9181722311123,-44.89335593351362,6.630118031469099,8.853819600494093,8.847758591245437
18,3,3,CYAN,"6,12,18",BLUE,"7,13,19",0,True,402.7719918316064,-45.304008016666785,-2.208105599756771,8.853966553243215,8.847758591248875
19,3,3,CYAN,"6,12,18",BLUE,"7,13,19",1,False,411.6259583848496,-44.57649568487186,-11.02590339150186,8.854453583382117,8.847758591254658
20,3,3,CYAN,"6,12,18",BLUE,"7,13,19",2,False,420.4804119682317,-42.69474010281299,-19.671239013587964,8.855347233265448,8.847758591271178
21,3,3,CYAN,"6,12,18",BLUE,"7,13,19",3,False,429.3357592014971,-39.63477568334308,-27.973012910833727,8.856765511370307,8.847758591320767
22,3,3,CYAN,"6,12,18",BLUE,"7,13,19",4,False,438.19252471286745,-35.37204005678323,-35.72620045328024,8.858844451008533,8.84775859138501
23,3,3,CYAN,"6,12,18",BLUE,"7,13,19",5,False,447.05136916387596,-29.897177811346822,-42.67664759608496,8.861666474932065,8.847758591063052
24,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",0,True,455.913035638808,-23.245838369923167,-48.511244044914314,8.864996639281864,8.847758591206611
25,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",1,False,464.7780322780899,-15.545390198816976,-52.86852875587569,8.867987126504465,8.847758591133564
26,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",2,False,473.64601940459437,-7.065500398229713,-55.39326657530841,8.869295897093268,8.8477585912425
27,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",3,False,482.5153153016876,1.7708823537842133,-55.84178853554697,8.868162398929801,8.847758591115287
28,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",4,False,491.38347770061745,10.461969785025188,-54.184130142156,8.865251275565099,8.847758591092486
29,4,4,BLUE,"7,13,19",MAGENTA,"8,14,20",5,False,500.2487289761825,18.557434321905244,-50.613936027213754,8.861906408798774,8.847758591145254
30,5,5,MAGENTA,"8,14,20",RED,"3,9,15",0,True,509.11063538498126,25.747315636789907,-45.457538179388486,8.859034090281593,8.84775859120166
31,5,5,MAGENTA,"8,14,20",RED,"3,9,15",1,False,517.9696694752629,31.865350191240978,-39.06594328619278,8.856897245016953,8.84775859122464
32,5,5,MAGENTA,"8,14,20",RED,"3,9,15",2,False,526.8265667202799,36.844534822680856,-31.75221971371464,8.855435116524756,8.847758591234085
33,5,5,MAGENTA,"8,14,20",RED,"3,9,15",3,False,535.6820018368046,40.670585497460316,-23.77449019192862,8.854505604756362,8.847758591238765
34,5,5,MAGENTA,"8,14,20",RED,"3,9,15",4,False,544.536507441561,43.35023105478317,-15.342270331419808,8.853990978504779,8.847758591242338
35,5,5,MAGENTA,"8,14,20",RED,"3,9,15",5,False,553.3904984200657,44.893355933513675,-6.630118031468575,8.853819600494273,8.847758591244348
