id	r	g	b
0	177	174	209
1	180	134	174
2	178	136	166
3	176	139	159
4	173	141	153
5	170	143	148
6	167	146	143
7	163	148	139
8	158	150	136
9	153	152	135
10	147	154	135
11	140	156	138
12	132	158	141
13	124	159	145
14	114	160	150
15	105	161	156
16	97	162	162
17	89	162	170
18	84	162	178
19	81	162	187
20	81	162	195
21	85	162	204
22	92	161	212
23	102	160	219
24	115	158	225
25	129	156	231
26	142	153	234
27	153	149	236
28	163	145	236
29	170	140	234
30	175	136	230
31	179	133	224
32	182	131	217
33	183	130	209
34	184	130	201
35	183	131	192
36	182	132	183
37	185	140	180
38	183	142	171
39	180	144	164
40	178	146	157
41	174	148	151
42	171	150	147
43	167	153	143
44	162	155	140
45	157	157	139
46	152	159	139
47	145	160	141
48	138	162	144
49	130	163	149
50	121	164	154
51	113	165	160
52	104	166	167
53	98	166	175
54	92	167	183
55	90	167	192
56	90	167	201
57	93	166	209
58	100	166	217
59	110	165	225
60	122	163	231
61	135	161	236
62	147	158	240
63	158	155	241
64	167	150	241
65	174	146	239
66	180	143	235
67	184	140	230
68	186	138	223
69	188	137	215
70	189	137	207
71	188	137	198
72	187	139	189
73	191	146	185
74	188	147	177
75	185	149	168
76	182	151	161
77	179	153	155
78	175	155	150
79	171	157	146
80	166	159	144
81	162	161	142
82	156	163	143
83	150	164	145
84	143	166	148
85	136	167	152
86	128	168	158
87	120	169	164
88	112	170	172
89	106	171	180
90	101	171	189
91	98	171	198
92	98	171	207
93	102	171	215
94	108	170	223
95	118	169	230
96	129	168	236
97	141	166	241
98	153	163	245
99	163	160	247
100	171	156	246
101	178	152	244
102	184	149	241
103	188	146	235
104	191	144	229
105	193	143	221
106	194	143	213
107	193	143	204
108	192	144	195
109	196	151	191
110	194	153	182
111	191	154	174
112	187	156	166
113	183	158	159
114	179	160	154
115	175	161	150
116	170	163	147
117	166	165	146
118	160	167	146
119	155	169	148
120	148	170	152
121	141	171	156
122	134	173	162
123	126	174	169
124	119	174	177
125	113	175	186
126	109	175	195
127	106	175	204
128	107	175	212
129	110	175	221
130	116	175	229
131	125	174	236
132	135	173	242
133	147	171	247
134	157	168	250
135	167	165	252
136	175	161	252
137	182	158	250
138	188	155	246
139	193	152	241
140	196	150	235
141	198	149	227
142	199	149	219
143	199	149	210
144	198	150	201
145	202	157	197
146	199	158	188
147	196	159	179
148	192	161	171
149	188	162	164
150	184	164	158
151	180	166	154
152	175	168	151
153	170	169	149
154	165	171	150
155	159	173	152
156	153	174	155
157	147	176	160
158	140	177	167
159	133	178	174
160	127	179	183
161	121	179	192
162	117	180	201
163	114	180	210
164	114	180	218
165	118	180	226
166	123	179	234
167	132	179	241
168	141	177	247
169	152	175	252
170	162	173	255
171	171	170	255
172	179	167	255
173	187	164	255
174	193	161	252
175	198	158	247
176	202	157	241
177	204	155	233
178	205	155	225
179	205	155	216
180	204	156	207
181	208	162	204
182	205	163	194
183	202	164	185
184	198	165	176
185	194	167	169
186	189	169	163
187	184	170	158
188	179	172	155
189	174	174	153
190	169	175	154
191	163	177	156
192	158	179	160
193	152	180	165
194	146	181	172
195	139	182	180
196	133	183	188
197	128	184	197
198	124	184	206
199	122	185	215
200	122	185	224
201	125	185	232
202	130	184	240
203	138	183	247
204	147	182	253
205	157	180	255
206	166	178	255
207	175	175	255
208	184	172	255
209	191	169	255
210	198	167	255
211	203	164	253
212	207	162	247
213	210	161	239
214	211	161	231
215	211	161	222
216	210	161	213
217	214	167	210
218	212	168	200
219	208	169	191
220	204	170	182
221	200	172	174
222	195	173	168
223	189	175	162
224	184	176	159
225	178	178	157
226	173	180	158
227	168	181	160
228	162	183	164
229	157	184	170
230	151	186	177
231	145	187	185
232	140	188	194
233	135	189	203
234	131	189	212
235	129	190	221
236	129	190	230
237	131	190	238
238	136	189	246
239	143	188	252
240	152	187	255
241	161	185	255
242	170	183	255
243	179	180	255
244	188	178	255
245	196	175	255
246	203	172	255
247	209	170	255
248	213	168	253
249	216	167	246
250	217	166	238
251	217	166	229
252	216	166	219
253	221	172	216
254	218	173	207
255	215	174	197
256	211	175	188
257	206	176	180
258	200	178	173
259	195	179	167
260	189	181	164
261	183	182	162
262	178	184	162
263	172	186	165
264	167	188	169
265	161	189	175
266	156	190	182
267	151	192	191
268	146	193	200
269	141	194	209
270	137	194	218
271	135	195	227
272	135	195	236
273	138	195	244
274	142	195	251
275	149	194	255
276	157	192	255
277	165	191	255
278	174	188	255
279	183	186	255
280	192	183	255
281	201	181	255
282	208	178	255
283	214	176	255
284	219	174	255
285	222	173	252
286	224	172	244
287	224	172	235
288	223	172	226
289	228	177	223
290	225	178	213
291	221	179	204
292	217	180	194
293	212	181	186
294	207	182	179
295	201	184	173
296	194	185	169
297	188	187	167
298	182	189	167
299	177	191	170
300	171	192	174
301	166	194	181
302	161	195	188
303	156	197	197
304	151	198	206
305	147	199	215
306	143	200	224
307	141	200	233
308	141	200	242
309	143	200	250
310	147	200	255
311	153	199	255
312	161	198	255
313	169	196	255
314	178	194	255
315	187	192	255
316	197	189	255
317	206	187	255
318	214	184	255
319	220	182	255
320	225	180	255
321	228	179	255
322	230	178	251
323	230	177	242
324	230	177	233
325	234	183	230
326	232	183	220
327	228	184	210
328	224	185	201
329	219	186	192
330	213	187	185
331	207	189	179
332	200	190	174
333	194	192	172
334	187	194	172
335	181	196	175
336	176	197	180
337	171	199	186
338	166	201	194
339	161	202	203
340	156	203	212
341	152	204	221
342	149	205	230
343	147	206	239
344	147	206	248
345	148	206	255
346	152	206	255
347	158	205	255
348	165	204	255
349	173	202	255
350	182	200	255
351	192	197	255
352	201	195	255
353	211	193	255
354	220	190	255
355	226	188	255
356	231	186	255
357	235	185	255
358	236	184	255
359	237	183	249
360	236	183	239
361	241	188	237
362	238	188	227
363	235	189	217
364	231	190	208
365	226	191	199
366	220	192	191
367	213	194	185
368	206	195	180
369	199	197	178
370	193	199	178
371	186	201	181
372	181	203	186
373	175	204	192
374	170	206	200
375	166	208	209
376	161	209	218
377	157	210	228
378	154	211	237
379	152	212	245
380	152	212	254
381	153	212	255
382	157	212	255
383	162	211	255
384	169	210	255
385	177	208	255
386	186	206	255
387	196	204	255
388	207	201	255
389	217	199	255
390	225	197	255
391	232	195	255
392	238	193	255
393	241	191	255
394	243	190	255
395	243	189	255
396	243	188	246
