r,g,b,X,Y,Z,L,u,v,pred_invalid_xyz
0.0,178.5,25.5,0.05645063892006874,0.15489299595355988,0.009188113734126091,70.21939194098971,-91.13036420963273,94.55892194451208,False
0.0,178.5,38.25,0.0570911206305027,0.15417733788490295,0.012518493458628654,70.08639931527121,-89.98445751513212,91.9646841954146,False
0.0,178.5,51.0,0.05775904282927513,0.15336695313453674,0.017230775207281113,69.935305573396,-88.87736917480993,88.43892808689033,False
0.0,178.5,63.75,0.0585164837539196,0.15248112380504608,0.02373773232102394,69.76953529551886,-87.78122859572389,83.73489921368088,False
12.75,178.5,25.5,0.057018060237169266,0.15469865500926971,0.010066552087664604,70.18331763775254,-90.23368595005165,93.78443062041724,False
12.75,178.5,38.25,0.05777899548411369,0.15408869087696075,0.013466594740748405,70.06989718233737,-89.00205983011222,91.16147397234349,False
12.75,178.5,51.0,0.05856483057141304,0.15338172018527985,0.018225545063614845,69.93806359973966,-87.8117576981879,87.62708865768826,False
12.75,178.5,63.75,0.059435922652482986,0.15259653329849243,0.024751780554652214,69.79116884175242,-86.63758231536822,82.9393477511684,False
25.5,178.5,12.75,0.05689312145113945,0.15488097071647644,0.00831710547208786,70.21716064693797,-90.37201322551105,95.03152215055941,False
25.5,178.5,25.5,0.05778365954756737,0.1544773131608963,0.010814456269145012,70.14219450497515,-89.00971499981796,93.04301566732919,False
25.5,178.5,38.25,0.05864745005965233,0.15396305918693542,0.01428484357893467,70.04649930104803,-87.71241610373649,90.39122297871569,False
25.5,178.5,51.0,0.0595339797437191,0.15335017442703247,0.01909169740974903,69.93217161719477,-86.45922125010861,86.84734561570733,False
25.5,178.5,63.75,0.060502391308546066,0.1526564508676529,0.025638800114393234,69.80239610781919,-85.22645254677488,82.17383615272878,False
38.25,178.5,0.0,0.05694736912846565,0.15485593676567078,0.006904827896505594,70.2125152033085,-90.1195301353775,95.94407494300687,False
38.25,178.5,12.75,0.05797966197133064,0.15465101599693298,0.008839551359415054,70.17447009336796,-88.6394124050082,94.36339360968134,False
38.25,178.5,25.5,0.05894818529486656,0.1543300598859787,0.011424992233514786,70.11481453434037,-87.24049232590787,92.33297680432466,False
38.25,178.5,38.25,0.0598900206387043,0.15389803051948547,0.014966445043683052,70.03438324069118,-85.90698229447068,89.65348659701246,False
38.25,178.5,51.0,0.0608535073697567,0.15336592495441437,0.01982221193611622,69.93511353469698,-84.61927233307141,86.10063811319432,False
38.25,178.5,63.75,0.061896879225969315,0.15275107324123383,0.02639152482151985,69.82012032769484,-83.35531052490349,81.44116820140518,False
51.0,178.5,0.0,0.05865618959069252,0.1547762155532837,0.007185401860624552,70.1977183408454,-87.55235748221529,95.35240896585105,False
51.0,178.5,12.75,0.059732694178819656,0.1546359807252884,0.009219853207468987,70.17167735698493,-86.07582912352538,93.72287954588005,False
51.0,178.5,25.5,0.06074771657586098,0.15438002347946167,0.011893361806869507,70.12410661340168,-84.67799187809446,91.65324657515701,False
51.0,178.5,38.25,0.06173707917332649,0.15401290357112885,0.015506207942962646,70.05578393516465,-83.34500707389714,88.94859435991835,False
51.0,178.5,51.0,0.06274789571762085,0.15354491770267487,0.020411692559719086,69.96853204455127,-82.05917057515691,85.38912199440254,False
51.0,178.5,63.75,0.06383758783340454,0.15299279987812042,0.027004435658454895,69.8653662198728,-80.80005127473535,80.74568926971861,False
