r,g,b,X,Y,Z,L,u,v,pred_invalid_xyz
0.0,191.25,153.0,0.08080585300922394,0.17303119599819183,0.14927588403224945,73.4614292461106,-86.10643562621078,21.963550877176367,False
0.0,191.25,165.75,0.08418211340904236,0.1723933070898056,0.1797047257423401,73.35135906813426,-84.58056352280394,7.621076336643588,False
0.0,191.25,178.5,0.08793327212333679,0.17190803587436676,0.2125508189201355,73.26744167490992,-83.03223763264846,-6.887735380835423,False
0.0,191.25,191.25,0.0920027494430542,0.17158012092113495,0.2472212314605713,73.21064626725973,-81.48852080513537,-21.199145805467698,False
0.0,191.25,204.0,0.09632189571857452,0.17140819132328033,0.2830544412136078,73.18083885839002,-79.97332241317785,-35.00244334378931,False
0.0,191.25,216.75,0.10081446170806885,0.1713859587907791,0.31936752796173096,73.17698295237581,-78.50693469594546,-48.05631406457452,False
0.0,191.25,229.5,0.10540352761745453,0.17150303721427917,0.3555015027523041,73.19728474004773,-77.10359092324917,-60.19377739006864,False
0.0,191.25,242.25,0.11001649498939514,0.1717466562986374,0.3908601999282837,73.23949950217053,-75.7719598821773,-71.31733618286769,False
0.0,191.25,255.0,0.11458824574947357,0.17210209369659424,0.424938440322876,73.30101879647903,-74.51611387628617,-81.38893127251393,False
12.75,191.25,165.75,0.0858631581068039,0.17306414246559143,0.17992587387561798,73.46710693329172,-83.10652535474227,7.644704513407199,False
12.75,191.25,178.5,0.08968983590602875,0.17264147102832794,0.21262851357460022,73.39421292398809,-81.55271088300206,-6.750693418090106,False
12.75,191.25,191.25,0.09383499622344971,0.1723739057779312,0.24716925621032715,73.3480070458541,-80.00750692865577,-20.963479286962784,False
12.75,191.25,204.0,0.09823060035705566,0.1722603738307953,0.28289127349853516,73.32838675003387,-78.49336902054324,-34.684369969473686,False
12.75,191.25,216.75,0.10280123353004456,0.17229458689689636,0.31911394000053406,73.33430027040595,-77.02862782865859,-47.671853373031254,False
12.75,191.25,229.5,0.10747015476226807,0.1724669188261032,0.3551790118217468,73.36407489963787,-75.62679367218983,-59.75719778133512,False
12.75,191.25,242.25,0.11216482520103455,0.17276448011398315,0.390489786863327,73.41543936067576,-74.29548163223131,-70.84107832998234,False
12.75,191.25,255.0,0.1168198436498642,0.17317280173301697,0.42453843355178833,73.48582715327858,-73.03830516122713,-80.88284228839183,False
25.5,191.25,191.25,0.09569266438484192,0.1730429083108902,0.24699948728084564,73.46344771949838,-78.41340859421581,-20.757525502363958,False
25.5,191.25,204.0,0.10015793144702911,0.17298363149166107,0.28260916471481323,73.45323115082252,-76.90691037161947,-34.400833835446484,False
25.5,191.25,216.75,0.10480032861232758,0.1730709969997406,0.31874004006385803,73.4682880892777,-75.4500423513862,-47.32560974647428,False
140.25,178.5,0.0,0.11183609068393707,0.17281058430671692,0.005423442460596561,73.42339250010892,-27.848969920955877,91.88946912598834,False
140.25,178.5,12.75,0.11220215260982513,0.17252808809280396,0.008120724931359291,73.37463864299745,-27.560824049886538,90.0934851397539,False
140.25,178.5,25.5,0.11252535879611969,0.17213483154773712,0.011385971680283546,73.30668081960891,-27.32657452644121,87.93397364662796,False
140.25,178.5,38.25,0.1128355860710144,0.17163187265396118,0.015485566109418869,73.2196145584048,-27.152931509480783,85.25225774895645,False
140.25,178.5,51.0,0.11317281424999237,0.17102587223052979,0.02073759213089943,73.11448473965501,-27.04712574544951,81.86610870718755,False
140.25,178.5,63.75,0.11358797550201416,0.1703300178050995,0.027504228055477142,72.99346016492946,-27.015062494547752,77.57957731824858,False
140.25,178.5,76.5,0.11414024233818054,0.16956306993961334,0.036174871027469635,72.85968839633841,-27.06080623780681,72.20026421683555,False
140.25,178.5,89.25,0.11489437520503998,0.16875050961971283,0.047142453491687775,72.7175200564178,-27.186704167989877,65.56275508588568,False
140.25,178.5,102.0,0.11591631174087524,0.16792188584804535,0.06077098846435547,72.57207041972862,-27.390939260208867,57.5553386356336,False
153.0,178.5,114.75,0.1308896243572235,0.17278292775154114,0.07681584358215332,73.41862181443972,-15.588801983874434,48.78126513199203,False
153.0,178.5,127.5,0.13240526616573334,0.17191915214061737,0.09644044935703278,73.2693657642556,-16.302127459690308,38.285298901347225,False
153.0,178.5,140.25,0.13433526456356049,0.17113296687602997,0.11926393955945969,73.1330817169584,-17.087571756915885,26.622464665987568,False
153.0,178.5,153.0,0.1366974413394928,0.17045287787914276,0.1452014297246933,73.01485219639217,-17.922127849588687,14.035915085731446,False
153.0,178.5,165.75,0.1394880712032318,0.1699017733335495,0.17400765419006348,72.91881499066335,-18.779074833307778,0.8340679653680709,False
153.0,178.5,178.5,0.14268213510513306,0.16949672996997833,0.20528699457645416,72.84809837660808,-19.631096508726714,-12.642840085715228,False
153.0,178.5,191.25,0.1462353616952896,0.1692478209733963,0.23851895332336426,72.80458539294709,-20.452385256104602,-26.05873025011812,False
153.0,178.5,204.0,0.15008854866027832,0.16915887594223022,0.27309539914131165,72.78902613660485,-21.220736391290224,-39.11159987671307,False
153.0,178.5,216.75,0.15417267382144928,0.16922801733016968,0.3083671033382416,72.80112159074748,-21.919017094898358,-51.55485683948646,False
153.0,178.5,229.5,0.1584150493144989,0.16944843530654907,0.34368830919265747,72.83965908576019,-22.534719167652597,-63.20666074234755,False
153.0,178.5,242.25,0.16274407505989075,0.16980992257595062,0.3784582316875458,72.90278860754849,-23.060635991678634,-73.94982992431778,False
153.0,178.5,255.0,0.16709403693675995,0.17029954493045807,0.41215255856513977,72.98815272640552,-23.493383862160954,-83.72527113852165,False
178.5,165.75,0.0,0.15593202412128448,0.17105567455291748,0.0028145015239715576,73.11966069016982,33.106920418808,84.03067300304278,False
178.5,165.75,12.75,0.15576012432575226,0.17069536447525024,0.005674208980053663,73.05704309647119,32.60128537871133,82.24358721575024,False
178.5,165.75,25.5,0.15554456412792206,0.17022477090358734,0.009086837992072105,72.97512670485625,32.03156509976139,80.105400071223,False
178.5,165.75,38.25,0.15531368553638458,0.16964419186115265,0.01331038773059845,72.87385681053742,31.374447036015123,77.4652181327187,False
178.5,165.75,51.0,0.1551065593957901,0.16895952820777893,0.01865411177277565,72.75413418752353,30.603642483512616,74.14895690184782,False
178.5,165.75,63.75,0.15497255325317383,0.16818299889564514,0.025471411645412445,72.61795553680133,29.691052093185807,69.96863201373927,False
191.25,165.75,127.5,0.17629964649677277,0.1723116636276245,0.0938282236456871,73.33725158656017,36.38164841632039,32.649795874643594,False
191.25,165.75,140.25,0.1776490956544876,0.17141997814178467,0.11640745401382446,73.18288297359115,33.9972558485745,21.39650340772909,False
191.25,165.75,153.0,0.1794259250164032,0.17062994837760925,0.1420769840478897,73.04566511009646,31.4598845574755,9.223139000923434,False
191.25,165.75,165.75,0.18162859976291656,0.16996584832668304,0.17060576379299164,72.92999155908022,28.826495180828584,-3.578466582225843,False
191.25,165.75,178.5,0.18423523008823395,0.16944560408592224,0.20161214470863342,72.83916429201815,26.16138134835913,-16.682146650198025,False
191.25,165.75,191.25,0.18720410764217377,0.1690806895494461,0.23458822071552277,72.7753443961511,23.52742506006785,-29.761328807935215,False
191.25,165.75,204.0,0.19047825038433075,0.16887608170509338,0.268936425447464,72.73952034916239,20.98126194221479,-42.519238330792994,False
191.25,165.75,216.75,0.1939905434846878,0.16883079707622528,0.30401375889778137,72.73158771703734,18.569344886883865,-54.710145298813124,False
191.25,165.75,229.5,0.1976698487997055,0.16893889009952545,0.33917805552482605,72.75052032008014,16.326346577406444,-66.15025326804975,False
191.25,165.75,242.25,0.20144522190093994,0.16919107735157013,0.3738287091255188,72.79465979580146,14.273714641587471,-76.71824120666406,False
191.25,165.75,255.0,0.20525193214416504,0.1695750206708908,0.40743929147720337,72.86177594466771,12.423076074607247,-86.35020690140801,False
204.0,153.0,0.0,0.19162780046463013,0.16917885839939117,0.0010575223714113235,72.79252216569553,82.22707795039636,77.36118320249645,False
204.0,153.0,12.75,0.1912013292312622,0.16887818276882172,0.003984025679528713,72.73988836380835,81.20556690207866,75.63006760405784,False
204.0,153.0,25.5,0.1907261461019516,0.16846540570259094,0.007457416970282793,72.66752915466199,80.10780714788221,73.55527758966574,False
204.0,153.0,38.25,0.1902303844690323,0.16794024407863617,0.011731857433915138,72.57529804593983,78.89849041769511,70.99061915774811,False
216.75,153.0,127.5,0.21151243150234222,0.1724393516778946,0.09216152876615524,73.35931332181987,77.7717546173083,27.936488363928184,False
216.75,153.0,140.25,0.21258370578289032,0.17159152030944824,0.11462832242250443,73.21262187351033,74.25439707348401,17.003900960029885,False
216.75,153.0,153.0,0.21407489478588104,0.17084111273288727,0.14017444849014282,73.08238300802265,70.49672533609213,5.1631832607135495,False
216.75,153.0,165.75,0.21598657965660095,0.17021232843399048,0.16857518255710602,72.9729587922435,66.57948215856578,-7.305430809807703,False
216.75,153.0,178.5,0.2182973474264145,0.1697235405445099,0.19945552945137024,72.88771114930795,62.592688111358534,-20.086278925887626,False
