kind,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,grey_X,grey_Y,grey_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
virtual_grey,0,0,-5,-10.0,60.0,12.406933120096937,-8.907369814500072,0.10777552103895013,0.10608590602083467,0.11946432756704557,152.59771026670933,142.61928420513868,144.19705644249916,153,143,144,True,0
virtual_grey,1,1,-4,-8.0,62.0,12.406933120096937,-8.907369814500072,0.11613248736294247,0.11468344254355396,0.12868385390412487,156.82877372950315,147.47486125677824,147.61177740991116,157,147,148,True,0
virtual_grey,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.12491552215164194,0.12373337923409793,0.13837176722721325,160.99555984139442,152.13323079049587,151.13237019628286,161,152,151,True,0
virtual_grey,3,3,-2,-4.0,66.0,12.406933120096937,-8.907369814500072,0.1341352289028062,0.1332473160967697,0.1485396839944602,165.15838846564293,156.62665497511625,154.8669731989503,165,157,155,True,0
virtual_grey,4,4,-1,-2.0,68.0,12.406933120096937,-8.907369814500072,0.14380221412860092,0.1432368531358726,0.15919922435506662,169.38169464468956,160.9977789223194,158.90117682516575,169,161,159,True,0
background_grey,5,5,0,0.0,70.0,12.406933120096937,-8.907369814500072,0.1539270869159184,0.15371359035570975,0.17036201161090803,173.73058028519154,165.29743820428848,163.2914612442255,174,165,163,True,0
virtual_grey,6,6,1,2.0,72.0,12.406933120096937,-8.907369814500072,0.1645204585614733,0.16468912776058428,0.182039671769721,178.26698206365108,169.58306863904,168.06459791958332,178,170,168,True,0
virtual_grey,7,7,2,4.0,74.0,12.406933120096937,-8.907369814500072,0.1755929422672473,0.17617506535479954,0.194243833172183,183.0462896078825,173.91621932387352,173.2219585776329,183,174,173,True,0
virtual_grey,8,8,3,6.0,76.0,12.406933120096937,-8.907369814500072,0.18715515288495066,0.18818300314265868,0.20698612617901505,188.11308972537518,178.36049124598503,178.74620094895363,188,178,179,True,0
virtual_grey,9,9,4,8.0,78.0,12.406933120096937,-8.907369814500072,0.1992177067005374,0.20072454112846475,0.22027818290712536,193.49743500351906,182.97912821173668,184.6086859703064,193,183,185,True,0
virtual_grey,10,10,5,10.0,80.0,12.406933120096937,-8.907369814500072,0.21179122125163646,0.21381127931652116,0.2341316370060611,199.211545586586,187.83203780651093,190.77601343393326,199,188,191,True,0
