rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,1.394e-06
0,0,255,255,255,388.0,5.119e-06
0,0,255,255,255,392.0,2.921e-06
0,0,255,255,255,396.0,7.239e-06
0,0,255,255,255,400.0,4.874e-06
0,0,255,255,255,404.0,8.417e-06
0,0,255,255,255,408.0,1.779e-05
0,0,255,255,255,412.0,4.645e-05
0,0,255,255,255,416.0,9.711e-05
0,0,255,255,255,420.0,0.0002365
0,0,255,255,255,424.0,0.0005568
0,0,255,255,255,428.0,0.001228
0,0,255,255,255,432.0,0.002541
0,0,255,255,255,436.0,0.005114
0,0,255,255,255,440.0,0.009249
0,0,255,255,255,444.0,0.01347
0,0,255,255,255,448.0,0.01473
0,0,255,255,255,452.0,0.01236
0,0,255,255,255,456.0,0.009089
0,0,255,255,255,460.0,0.007057
0,0,255,255,255,464.0,0.005254
0,0,255,255,255,468.0,0.003658
0,0,255,255,255,472.0,0.002631
0,0,255,255,255,476.0,0.002133
0,0,255,255,255,480.0,0.001859
0,0,255,255,255,484.0,0.001577
0,0,255,255,255,488.0,0.001441
0,0,255,255,255,492.0,0.001451
0,0,255,255,255,496.0,0.00158
0,0,255,255,255,500.0,0.001798
0,0,255,255,255,504.0,0.002093
0,0,255,255,255,508.0,0.002438
0,0,255,255,255,512.0,0.002782
0,0,255,255,255,516.0,0.003155
0,0,255,255,255,520.0,0.003566
0,0,255,255,255,524.0,0.003949
0,0,255,255,255,528.0,0.004339
0,0,255,255,255,532.0,0.004704
0,0,255,255,255,536.0,0.004872
0,0,255,255,255,540.0,0.004933
0,0,255,255,255,544.0,0.004983
0,0,255,255,255,548.0,0.004963
0,0,255,255,255,552.0,0.004841
0,0,255,255,255,556.0,0.004708
0,0,255,255,255,560.0,0.004597
0,0,255,255,255,564.0,0.004421
0,0,255,255,255,568.0,0.004096
0,0,255,255,255,572.0,0.003609
0,0,255,255,255,576.0,0.003224
0,0,255,255,255,580.0,0.003007
0,0,255,255,255,584.0,0.002994
0,0,255,255,255,588.0,0.003158
0,0,255,255,255,592.0,0.003425
0,0,255,255,255,596.0,0.003618
0,0,255,255,255,600.0,0.003683
0,0,255,255,255,604.0,0.003593
0,0,255,255,255,608.0,0.003369
0,0,255,255,255,612.0,0.003049
0,0,255,255,255,616.0,0.002741
0,0,255,255,255,620.0,0.002462
0,0,255,255,255,624.0,0.002244
0,0,255,255,255,628.0,0.002015
0,0,255,255,255,632.0,0.001826
0,0,255,255,255,636.0,0.001662
0,0,255,255,255,640.0,0.001505
0,0,255,255,255,644.0,0.001363
0,0,255,255,255,648.0,0.001196
0,0,255,255,255,652.0,0.001069
0,0,255,255,255,656.0,0.0009539
0,0,255,255,255,660.0,0.0008567
0,0,255,255,255,664.0,0.0007477
0,0,255,255,255,668.0,0.0006617
0,0,255,255,255,672.0,0.0005816
0,0,255,255,255,676.0,0.0005095
0,0,255,255,255,680.0,0.0004674
0,0,255,255,255,684.0,0.0004089
0,0,255,255,255,688.0,0.0003623
0,0,255,255,255,692.0,0.000325
0,0,255,255,255,696.0,0.0002799
0,0,255,255,255,700.0,0.0002378
0,0,255,255,255,704.0,0.0002091
0,0,255,255,255,708.0,0.0001951
0,0,255,255,255,712.0,0.0001861
0,0,255,255,255,716.0,0.0001537
0,0,255,255,255,720.0,0.0001257
0,0,255,255,255,724.0,9.657e-05
0,0,255,255,255,728.0,7.3e-05
0,0,255,255,255,732.0,2.793e-05
0,0,255,255,255,736.0,2.245e-05
0,0,255,255,255,740.0,2.5e-05
0,0,255,255,255,744.0,9.807e-06
0,0,255,255,255,748.0,2.52e-05
0,0,255,255,255,752.0,4.144e-06
0,0,255,255,255,756.0,7.574e-06
0,0,255,255,255,760.0,1.393e-06
0,0,255,255,255,764.0,8.616e-26
0,0,255,255,255,768.0,9.461e-26
0,0,255,255,255,772.0,1.053e-25
0,0,255,255,255,776.0,1.172e-25
0,0,255,255,255,780.0,1.301e-25
0,1,0,0,0,384.0,2.365e-07
0,1,0,0,0,388.0,7.411e-07
0,1,0,0,0,392.0,4.629e-07
0,1,0,0,0,396.0,8.04e-07
0,1,0,0,0,400.0,8.377e-07
0,1,0,0,0,404.0,1.089e-06
0,1,0,0,0,408.0,1.208e-06
0,1,0,0,0,412.0,1.289e-06
0,1,0,0,0,416.0,1.023e-06
0,1,0,0,0,420.0,1.437e-06
0,1,0,0,0,424.0,2.063e-06
0,1,0,0,0,428.0,3.233e-06
0,1,0,0,0,432.0,4.824e-06
0,1,0,0,0,436.0,8.144e-06
0,1,0,0,0,440.0,1.322e-05
0,1,0,0,0,444.0,1.807e-05
0,1,0,0,0,448.0,1.884e-05
0,1,0,0,0,452.0,1.511e-05
0,1,0,0,0,456.0,1.103e-05
0,1,0,0,0,460.0,8.541e-06
0,1,0,0,0,464.0,6.438e-06
0,1,0,0,0,468.0,4.665e-06
0,1,0,0,0,472.0,3.686e-06
0,1,0,0,0,476.0,3.01e-06
0,1,0,0,0,480.0,2.982e-06
0,1,0,0,0,484.0,2.373e-06
0,1,0,0,0,488.0,1.926e-06
0,1,0,0,0,492.0,2.055e-06
0,1,0,0,0,496.0,2.055e-06
0,1,0,0,0,500.0,2.237e-06
0,1,0,0,0,504.0,2.192e-06
0,1,0,0,0,508.0,2.424e-06
0,1,0,0,0,512.0,2.763e-06
0,1,0,0,0,516.0,2.85e-06
0,1,0,0,0,520.0,2.995e-06
0,1,0,0,0,524.0,3.303e-06
0,1,0,0,0,528.0,3.452e-06
0,1,0,0,0,532.0,3.604e-06
0,1,0,0,0,536.0,3.867e-06
0,1,0,0,0,540.0,3.943e-06
0,1,0,0,0,544.0,3.717e-06
0,1,0,0,0,548.0,3.803e-06
0,1,0,0,0,552.0,3.645e-06
0,1,0,0,0,556.0,3.483e-06
0,1,0,0,0,560.0,3.437e-06
0,1,0,0,0,564.0,3.08e-06
0,1,0,0,0,568.0,3.034e-06
0,1,0,0,0,572.0,2.577e-06
0,1,0,0,0,576.0,2.433e-06
0,1,0,0,0,580.0,2.199e-06
0,1,0,0,0,584.0,2.363e-06
0,1,0,0,0,588.0,2.452e-06
0,1,0,0,0,592.0,2.422e-06
0,1,0,0,0,596.0,2.801e-06
0,1,0,0,0,600.0,2.536e-06
0,1,0,0,0,604.0,2.617e-06
0,1,0,0,0,608.0,2.27e-06
0,1,0,0,0,612.0,2.384e-06
0,1,0,0,0,616.0,2.019e-06
0,1,0,0,0,620.0,1.886e-06
0,1,0,0,0,624.0,1.475e-06
0,1,0,0,0,628.0,1.609e-06
0,1,0,0,0,632.0,1.649e-06
0,1,0,0,0,636.0,1.621e-06
0,1,0,0,0,640.0,1.027e-06
0,1,0,0,0,644.0,1.448e-06
0,1,0,0,0,648.0,1.091e-06
