rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,2.199e-26
0,0,255,255,255,388.0,2.105e-26
0,0,255,255,255,392.0,1.976e-26
0,0,255,255,255,396.0,1.861e-26
0,0,255,255,255,400.0,1.736e-26
0,0,255,255,255,404.0,5.124e-06
0,0,255,255,255,408.0,1.203e-05
0,0,255,255,255,412.0,3.463e-05
0,0,255,255,255,416.0,9.329e-05
0,0,255,255,255,420.0,0.0002311
0,0,255,255,255,424.0,0.000554
0,0,255,255,255,428.0,0.001227
0,0,255,255,255,432.0,0.002538
0,0,255,255,255,436.0,0.00511
0,0,255,255,255,440.0,0.009223
0,0,255,255,255,444.0,0.01338
0,0,255,255,255,448.0,0.01455
0,0,255,255,255,452.0,0.01215
0,0,255,255,255,456.0,0.008947
0,0,255,255,255,460.0,0.006939
0,0,255,255,255,464.0,0.005156
0,0,255,255,255,468.0,0.003588
0,0,255,255,255,472.0,0.002581
0,0,255,255,255,476.0,0.002088
0,0,255,255,255,480.0,0.001822
0,0,255,255,255,484.0,0.001553
0,0,255,255,255,488.0,0.001408
0,0,255,255,255,492.0,0.001421
0,0,255,255,255,496.0,0.001546
0,0,255,255,255,500.0,0.001755
0,0,255,255,255,504.0,0.00205
0,0,255,255,255,508.0,0.002401
0,0,255,255,255,512.0,0.002743
0,0,255,255,255,516.0,0.003103
0,0,255,255,255,520.0,0.003496
0,0,255,255,255,524.0,0.003867
0,0,255,255,255,528.0,0.004248
0,0,255,255,255,532.0,0.004606
0,0,255,255,255,536.0,0.00479
0,0,255,255,255,540.0,0.004856
0,0,255,255,255,544.0,0.004898
0,0,255,255,255,548.0,0.004875
0,0,255,255,255,552.0,0.004747
0,0,255,255,255,556.0,0.004614
0,0,255,255,255,560.0,0.004502
0,0,255,255,255,564.0,0.004323
0,0,255,255,255,568.0,0.004006
0,0,255,255,255,572.0,0.003533
0,0,255,255,255,576.0,0.003154
0,0,255,255,255,580.0,0.002946
0,0,255,255,255,584.0,0.002935
0,0,255,255,255,588.0,0.003097
0,0,255,255,255,592.0,0.003353
0,0,255,255,255,596.0,0.003537
0,0,255,255,255,600.0,0.003591
0,0,255,255,255,604.0,0.003501
0,0,255,255,255,608.0,0.00329
0,0,255,255,255,612.0,0.002978
0,0,255,255,255,616.0,0.002665
0,0,255,255,255,620.0,0.002397
0,0,255,255,255,624.0,0.002183
0,0,255,255,255,628.0,0.001961
0,0,255,255,255,632.0,0.001773
0,0,255,255,255,636.0,0.001618
0,0,255,255,255,640.0,0.001469
0,0,255,255,255,644.0,0.001316
0,0,255,255,255,648.0,0.001167
0,0,255,255,255,652.0,0.001046
0,0,255,255,255,656.0,0.0009327
0,0,255,255,255,660.0,0.0008251
0,0,255,255,255,664.0,0.0007345
0,0,255,255,255,668.0,0.0006467
0,0,255,255,255,672.0,0.0005679
0,0,255,255,255,676.0,0.0005002
0,0,255,255,255,680.0,0.000449
0,0,255,255,255,684.0,0.0004008
0,0,255,255,255,688.0,0.0003576
0,0,255,255,255,692.0,0.0003136
0,0,255,255,255,696.0,0.0002815
0,0,255,255,255,700.0,0.0002394
0,0,255,255,255,704.0,0.000223
0,0,255,255,255,708.0,0.0002092
0,0,255,255,255,712.0,0.0001986
0,0,255,255,255,716.0,0.0001761
0,0,255,255,255,720.0,0.0001492
0,0,255,255,255,724.0,0.0001424
0,0,255,255,255,728.0,0.0001088
0,0,255,255,255,732.0,8.145e-05
0,0,255,255,255,736.0,5.534e-05
0,0,255,255,255,740.0,7.708e-05
0,0,255,255,255,744.0,6.592e-05
0,0,255,255,255,748.0,7.297e-05
0,0,255,255,255,752.0,6.419e-05
0,0,255,255,255,756.0,7.111e-05
0,0,255,255,255,760.0,4.591e-05
0,0,255,255,255,764.0,5.233e-05
0,0,255,255,255,768.0,7.242e-05
0,0,255,255,255,772.0,6.224e-05
0,0,255,255,255,776.0,8.827e-05
0,0,255,255,255,780.0,4.003e-05
0,1,0,0,0,384.0,1.103e-27
0,1,0,0,0,388.0,1.056e-27
0,1,0,0,0,392.0,9.915e-28
0,1,0,0,0,396.0,9.336e-28
0,1,0,0,0,400.0,8.707e-28
0,1,0,0,0,404.0,8.037e-28
0,1,0,0,0,408.0,1.315e-07
0,1,0,0,0,412.0,2.311e-07
