rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,5.747e-06
0,0,255,255,255,388.0,1.341e-05
0,0,255,255,255,392.0,1.984e-05
0,0,255,255,255,396.0,2.261e-05
0,0,255,255,255,400.0,2.348e-05
0,0,255,255,255,404.0,2.4e-05
0,0,255,255,255,408.0,3.317e-05
0,0,255,255,255,412.0,5.271e-05
0,0,255,255,255,416.0,9.946e-05
0,0,255,255,255,420.0,0.0002218
0,0,255,255,255,424.0,0.0005088
0,0,255,255,255,428.0,0.001104
0,0,255,255,255,432.0,0.002314
0,0,255,255,255,436.0,0.004774
0,0,255,255,255,440.0,0.008776
0,0,255,255,255,444.0,0.01281
0,0,255,255,255,448.0,0.01391
0,0,255,255,255,452.0,0.01157
0,0,255,255,255,456.0,0.008502
0,0,255,255,255,460.0,0.006637
0,0,255,255,255,464.0,0.004943
0,0,255,255,255,468.0,0.003417
0,0,255,255,255,472.0,0.002438
0,0,255,255,255,476.0,0.00198
0,0,255,255,255,480.0,0.001739
0,0,255,255,255,484.0,0.001491
0,0,255,255,255,488.0,0.001354
0,0,255,255,255,492.0,0.001329
0,0,255,255,255,496.0,0.001429
0,0,255,255,255,500.0,0.001626
0,0,255,255,255,504.0,0.001914
0,0,255,255,255,508.0,0.002316
0,0,255,255,255,512.0,0.002728
0,0,255,255,255,516.0,0.003085
0,0,255,255,255,520.0,0.003402
0,0,255,255,255,524.0,0.003724
0,0,255,255,255,528.0,0.003982
0,0,255,255,255,532.0,0.004175
0,0,255,255,255,536.0,0.004476
0,0,255,255,255,540.0,0.004759
0,0,255,255,255,544.0,0.004924
0,0,255,255,255,548.0,0.00494
0,0,255,255,255,552.0,0.004861
0,0,255,255,255,556.0,0.004703
0,0,255,255,255,560.0,0.004405
0,0,255,255,255,564.0,0.004027
0,0,255,255,255,568.0,0.003718
0,0,255,255,255,572.0,0.00339
0,0,255,255,255,576.0,0.003084
0,0,255,255,255,580.0,0.002905
0,0,255,255,255,584.0,0.00294
0,0,255,255,255,588.0,0.003126
0,0,255,255,255,592.0,0.00335
0,0,255,255,255,596.0,0.003481
0,0,255,255,255,600.0,0.003538
0,0,255,255,255,604.0,0.003453
0,0,255,255,255,608.0,0.003214
0,0,255,255,255,612.0,0.002865
0,0,255,255,255,616.0,0.002562
0,0,255,255,255,620.0,0.002316
0,0,255,255,255,624.0,0.002134
0,0,255,255,255,628.0,0.001923
0,0,255,255,255,632.0,0.00174
0,0,255,255,255,636.0,0.001579
0,0,255,255,255,640.0,0.001415
0,0,255,255,255,644.0,0.001278
0,0,255,255,255,648.0,0.00114
0,0,255,255,255,652.0,0.001026
0,0,255,255,255,656.0,0.0009211
0,0,255,255,255,660.0,0.0008137
0,0,255,255,255,664.0,0.0007091
0,0,255,255,255,668.0,0.0006311
0,0,255,255,255,672.0,0.0005649
0,0,255,255,255,676.0,0.0004986
0,0,255,255,255,680.0,0.0004363
0,0,255,255,255,684.0,0.0003896
0,0,255,255,255,688.0,0.0003365
0,0,255,255,255,692.0,0.000303
0,0,255,255,255,696.0,0.0002754
0,0,255,255,255,700.0,0.0002439
0,0,255,255,255,704.0,0.0002224
0,0,255,255,255,708.0,0.0001951
0,0,255,255,255,712.0,0.0001687
0,0,255,255,255,716.0,0.0001489
0,0,255,255,255,720.0,0.0001474
0,0,255,255,255,724.0,0.0001309
0,0,255,255,255,728.0,0.0001095
0,0,255,255,255,732.0,0.0001105
0,0,255,255,255,736.0,6.864e-05
0,0,255,255,255,740.0,5.679e-05
0,0,255,255,255,744.0,6.419e-05
0,0,255,255,255,748.0,5.927e-05
0,0,255,255,255,752.0,6.936e-05
0,0,255,255,255,756.0,4.482e-05
0,0,255,255,255,760.0,1.491e-05
0,0,255,255,255,764.0,3.663e-05
0,0,255,255,255,768.0,1.811e-05
0,0,255,255,255,772.0,9.535e-06
0,0,255,255,255,776.0,1.172e-25
0,0,255,255,255,780.0,1.301e-25
0,1,0,0,0,384.0,3.325e-07
0,1,0,0,0,388.0,5.452e-07
0,1,0,0,0,392.0,7.934e-07
0,1,0,0,0,396.0,8.743e-07
0,1,0,0,0,400.0,1.059e-06
0,1,0,0,0,404.0,1.242e-06
0,1,0,0,0,408.0,1.335e-06
0,1,0,0,0,412.0,1.234e-06
0,1,0,0,0,416.0,1.438e-06
0,1,0,0,0,420.0,1.393e-06
0,1,0,0,0,424.0,1.617e-06
0,1,0,0,0,428.0,2.129e-06
0,1,0,0,0,432.0,3.814e-06
0,1,0,0,0,436.0,7.249e-06
0,1,0,0,0,440.0,1.25e-05
0,1,0,0,0,444.0,1.724e-05
0,1,0,0,0,448.0,1.796e-05
0,1,0,0,0,452.0,1.46e-05
0,1,0,0,0,456.0,1.03e-05
0,1,0,0,0,460.0,7.917e-06
0,1,0,0,0,464.0,5.693e-06
0,1,0,0,0,468.0,4.171e-06
0,1,0,0,0,472.0,3.173e-06
0,1,0,0,0,476.0,2.428e-06
0,1,0,0,0,480.0,2.255e-06
0,1,0,0,0,484.0,1.872e-06
0,1,0,0,0,488.0,1.839e-06
0,1,0,0,0,492.0,1.934e-06
0,1,0,0,0,496.0,2.123e-06
0,1,0,0,0,500.0,2.325e-06
0,1,0,0,0,504.0,2.548e-06
0,1,0,0,0,508.0,2.991e-06
0,1,0,0,0,512.0,3.194e-06
0,1,0,0,0,516.0,3.587e-06
0,1,0,0,0,520.0,3.74e-06
0,1,0,0,0,524.0,3.999e-06
0,1,0,0,0,528.0,4.285e-06
0,1,0,0,0,532.0,4.121e-06
0,1,0,0,0,536.0,4.471e-06
0,1,0,0,0,540.0,4.555e-06
0,1,0,0,0,544.0,4.597e-06
0,1,0,0,0,548.0,4.366e-06
0,1,0,0,0,552.0,4.473e-06
0,1,0,0,0,556.0,4.193e-06
0,1,0,0,0,560.0,4.078e-06
0,1,0,0,0,564.0,3.719e-06
0,1,0,0,0,568.0,3.469e-06
0,1,0,0,0,572.0,3.205e-06
0,1,0,0,0,576.0,2.966e-06
0,1,0,0,0,580.0,2.533e-06
0,1,0,0,0,584.0,2.848e-06
0,1,0,0,0,588.0,2.804e-06
0,1,0,0,0,592.0,3.024e-06
0,1,0,0,0,596.0,2.95e-06
0,1,0,0,0,600.0,2.915e-06
0,1,0,0,0,604.0,2.908e-06
0,1,0,0,0,608.0,2.595e-06
0,1,0,0,0,612.0,2.322e-06
0,1,0,0,0,616.0,1.955e-06
0,1,0,0,0,620.0,1.551e-06
0,1,0,0,0,624.0,1.553e-06
0,1,0,0,0,628.0,1.365e-06
0,1,0,0,0,632.0,1.265e-06
0,1,0,0,0,636.0,1.105e-06
0,1,0,0,0,640.0,1.002e-06
0,1,0,0,0,644.0,3.533e-07
0,1,0,0,0,648.0,9.012e-07
0,1,0,0,0,652.0,8.898e-08
0,1,0,0,0,656.0,9.012e-08
0,1,0,0,0,660.0,2.342e-07
0,1,0,0,0,664.0,5.828e-07
