rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,2.199e-26
0,0,255,255,255,388.0,2.168e-06
0,0,255,255,255,392.0,6.979e-06
0,0,255,255,255,396.0,6.919e-06
0,0,255,255,255,400.0,7.585e-06
0,0,255,255,255,404.0,1.469e-05
0,0,255,255,255,408.0,2.402e-05
0,0,255,255,255,412.0,4.713e-05
0,0,255,255,255,416.0,9.332e-05
0,0,255,255,255,420.0,0.0002264
0,0,255,255,255,424.0,0.0005268
0,0,255,255,255,428.0,0.001131
0,0,255,255,255,432.0,0.002365
0,0,255,255,255,436.0,0.004845
0,0,255,255,255,440.0,0.008871
0,0,255,255,255,444.0,0.01296
0,0,255,255,255,448.0,0.01411
0,0,255,255,255,452.0,0.01177
0,0,255,255,255,456.0,0.008674
0,0,255,255,255,460.0,0.006765
0,0,255,255,255,464.0,0.005043
0,0,255,255,255,468.0,0.003497
0,0,255,255,255,472.0,0.002505
0,0,255,255,255,476.0,0.002034
0,0,255,255,255,480.0,0.001787
0,0,255,255,255,484.0,0.001533
0,0,255,255,255,488.0,0.001386
0,0,255,255,255,492.0,0.001371
0,0,255,255,255,496.0,0.001484
0,0,255,255,255,500.0,0.001681
0,0,255,255,255,504.0,0.001979
0,0,255,255,255,508.0,0.002374
0,0,255,255,255,512.0,0.002778
0,0,255,255,255,516.0,0.00312
0,0,255,255,255,520.0,0.003448
0,0,255,255,255,524.0,0.003786
0,0,255,255,255,528.0,0.004019
0,0,255,255,255,532.0,0.004256
0,0,255,255,255,536.0,0.004582
0,0,255,255,255,540.0,0.004843
0,0,255,255,255,544.0,0.004978
0,0,255,255,255,548.0,0.004974
0,0,255,255,255,552.0,0.004879
0,0,255,255,255,556.0,0.004706
0,0,255,255,255,560.0,0.004381
0,0,255,255,255,564.0,0.004035
0,0,255,255,255,568.0,0.003772
0,0,255,255,255,572.0,0.00344
0,0,255,255,255,576.0,0.003114
0,0,255,255,255,580.0,0.002936
0,0,255,255,255,584.0,0.002963
0,0,255,255,255,588.0,0.003132
0,0,255,255,255,592.0,0.003353
0,0,255,255,255,596.0,0.003502
0,0,255,255,255,600.0,0.003547
0,0,255,255,255,604.0,0.003447
0,0,255,255,255,608.0,0.003202
0,0,255,255,255,612.0,0.002862
0,0,255,255,255,616.0,0.002579
0,0,255,255,255,620.0,0.002348
0,0,255,255,255,624.0,0.002149
0,0,255,255,255,628.0,0.001927
0,0,255,255,255,632.0,0.001747
0,0,255,255,255,636.0,0.001579
0,0,255,255,255,640.0,0.001427
0,0,255,255,255,644.0,0.001292
0,0,255,255,255,648.0,0.001144
0,0,255,255,255,652.0,0.001043
0,0,255,255,255,656.0,0.0009307
0,0,255,255,255,660.0,0.0008196
0,0,255,255,255,664.0,0.0007075
0,0,255,255,255,668.0,0.000646
0,0,255,255,255,672.0,0.0005807
0,0,255,255,255,676.0,0.0005079
0,0,255,255,255,680.0,0.0004472
0,0,255,255,255,684.0,0.0003989
0,0,255,255,255,688.0,0.0003354
0,0,255,255,255,692.0,0.0002958
0,0,255,255,255,696.0,0.0002712
0,0,255,255,255,700.0,0.000232
0,0,255,255,255,704.0,0.0002099
0,0,255,255,255,708.0,0.0001905
0,0,255,255,255,712.0,0.0001739
0,0,255,255,255,716.0,0.0001534
0,0,255,255,255,720.0,0.0001309
0,0,255,255,255,724.0,0.000116
0,0,255,255,255,728.0,8.706e-05
0,0,255,255,255,732.0,7.497e-05
