rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,2.199e-26
0,0,255,255,255,388.0,2.105e-26
0,0,255,255,255,392.0,1.976e-26
0,0,255,255,255,396.0,1.861e-26
0,0,255,255,255,400.0,1.736e-26
0,0,255,255,255,404.0,1.893e-06
0,0,255,255,255,408.0,1.794e-05
0,0,255,255,255,412.0,4.492e-05
0,0,255,255,255,416.0,0.000119
0,0,255,255,255,420.0,0.0002886
0,0,255,255,255,424.0,0.0006675
0,0,255,255,255,428.0,0.001412
0,0,255,255,255,432.0,0.00292
0,0,255,255,255,436.0,0.005968
0,0,255,255,255,440.0,0.01085
0,0,255,255,255,444.0,0.01565
0,0,255,255,255,448.0,0.01685
0,0,255,255,255,452.0,0.01396
0,0,255,255,255,456.0,0.01026
0,0,255,255,255,460.0,0.008016
0,0,255,255,255,464.0,0.005991
0,0,255,255,255,468.0,0.004165
0,0,255,255,255,472.0,0.002966
0,0,255,255,255,476.0,0.002383
0,0,255,255,255,480.0,0.002082
0,0,255,255,255,484.0,0.001794
0,0,255,255,255,488.0,0.001645
0,0,255,255,255,492.0,0.001613
0,0,255,255,255,496.0,0.001714
0,0,255,255,255,500.0,0.001921
0,0,255,255,255,504.0,0.002229
0,0,255,255,255,508.0,0.002673
0,0,255,255,255,512.0,0.003164
0,0,255,255,255,516.0,0.003596
0,0,255,255,255,520.0,0.003968
0,0,255,255,255,524.0,0.004302
0,0,255,255,255,528.0,0.004535
0,0,255,255,255,532.0,0.004684
0,0,255,255,255,536.0,0.004928
0,0,255,255,255,540.0,0.005226
0,0,255,255,255,544.0,0.005434
0,0,255,255,255,548.0,0.005505
0,0,255,255,255,552.0,0.005471
0,0,255,255,255,556.0,0.005287
0,0,255,255,255,560.0,0.004917
0,0,255,255,255,564.0,0.004489
0,0,255,255,255,568.0,0.004103
0,0,255,255,255,572.0,0.003684
0,0,255,255,255,576.0,0.003329
0,0,255,255,255,580.0,0.003124
0,0,255,255,255,584.0,0.003176
0,0,255,255,255,588.0,0.003412
0,0,255,255,255,592.0,0.003692
0,0,255,255,255,596.0,0.003844
0,0,255,255,255,600.0,0.003861
0,0,255,255,255,604.0,0.003758
0,0,255,255,255,608.0,0.003523
0,0,255,255,255,612.0,0.003181
0,0,255,255,255,616.0,0.002852
0,0,255,255,255,620.0,0.002546
0,0,255,255,255,624.0,0.002296
0,0,255,255,255,628.0,0.002067
0,0,255,255,255,632.0,0.001875
0,0,255,255,255,636.0,0.001706
0,0,255,255,255,640.0,0.001537
0,0,255,255,255,644.0,0.001388
0,0,255,255,255,648.0,0.00122
0,0,255,255,255,652.0,0.001109
0,0,255,255,255,656.0,0.0009995
0,0,255,255,255,660.0,0.0009047
0,0,255,255,255,664.0,0.0007979
0,0,255,255,255,668.0,0.0007069
0,0,255,255,255,672.0,0.0006229
0,0,255,255,255,676.0,0.000547
0,0,255,255,255,680.0,0.0004846
0,0,255,255,255,684.0,0.0004281
0,0,255,255,255,688.0,0.000369
0,0,255,255,255,692.0,0.0003272
0,0,255,255,255,696.0,0.0002857
0,0,255,255,255,700.0,0.0002499
0,0,255,255,255,704.0,0.0002185
0,0,255,255,255,708.0,0.0002001
0,0,255,255,255,712.0,0.0001809
0,0,255,255,255,716.0,0.0001504
0,0,255,255,255,720.0,0.0001175
0,0,255,255,255,724.0,9.93e-05
0,0,255,255,255,728.0,7.057e-05
0,0,255,255,255,732.0,5.495e-05
0,0,255,255,255,736.0,3.099e-05
0,0,255,255,255,740.0,1.313e-05
0,0,255,255,255,744.0,5.543e-26
0,0,255,255,255,748.0,6.002e-26
0,0,255,255,255,752.0,6.54e-26
0,0,255,255,255,756.0,7.164e-26
0,0,255,255,255,760.0,7.847e-26
0,0,255,255,255,764.0,8.616e-26
0,0,255,255,255,768.0,9.461e-26
0,0,255,255,255,772.0,1.053e-25
0,0,255,255,255,776.0,1.172e-25
0,0,255,255,255,780.0,1.301e-25
0,1,0,0,0,384.0,1.103e-27
0,1,0,0,0,388.0,1.056e-27
0,1,0,0,0,392.0,5.185e-08
0,1,0,0,0,396.0,1.031e-07
0,1,0,0,0,400.0,2.272e-08
0,1,0,0,0,404.0,3.559e-07
0,1,0,0,0,408.0,8.084e-07
0,1,0,0,0,412.0,7.497e-07
