rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,2.199e-26
0,0,255,255,255,388.0,2.105e-26
0,0,255,255,255,392.0,1.976e-26
0,0,255,255,255,396.0,1.861e-26
0,0,255,255,255,400.0,1.298e-06
0,0,255,255,255,404.0,1.275e-05
0,0,255,255,255,408.0,2.244e-05
0,0,255,255,255,412.0,5.044e-05
0,0,255,255,255,416.0,0.0001259
0,0,255,255,255,420.0,0.0002918
0,0,255,255,255,424.0,0.0006745
0,0,255,255,255,428.0,0.001434
0,0,255,255,255,432.0,0.003006
0,0,255,255,255,436.0,0.006226
0,0,255,255,255,440.0,0.01136
0,0,255,255,255,444.0,0.0162
0,0,255,255,255,448.0,0.01707
0,0,255,255,255,452.0,0.01385
0,0,255,255,255,456.0,0.01014
0,0,255,255,255,460.0,0.007929
0,0,255,255,255,464.0,0.005894
0,0,255,255,255,468.0,0.004071
0,0,255,255,255,472.0,0.002906
0,0,255,255,255,476.0,0.002347
0,0,255,255,255,480.0,0.002061
0,0,255,255,255,484.0,0.001767
0,0,255,255,255,488.0,0.001618
0,0,255,255,255,492.0,0.001602
0,0,255,255,255,496.0,0.001714
0,0,255,255,255,500.0,0.001931
0,0,255,255,255,504.0,0.002255
0,0,255,255,255,508.0,0.002728
0,0,255,255,255,512.0,0.003234
0,0,255,255,255,516.0,0.003692
0,0,255,255,255,520.0,0.004106
0,0,255,255,255,524.0,0.004461
0,0,255,255,255,528.0,0.00469
0,0,255,255,255,532.0,0.004863
0,0,255,255,255,536.0,0.005143
0,0,255,255,255,540.0,0.005458
0,0,255,255,255,544.0,0.005651
0,0,255,255,255,548.0,0.005743
0,0,255,255,255,552.0,0.005741
0,0,255,255,255,556.0,0.005546
0,0,255,255,255,560.0,0.005153
0,0,255,255,255,564.0,0.00472
0,0,255,255,255,568.0,0.004326
0,0,255,255,255,572.0,0.00388
0,0,255,255,255,576.0,0.003484
0,0,255,255,255,580.0,0.003263
0,0,255,255,255,584.0,0.003323
0,0,255,255,255,588.0,0.003581
0,0,255,255,255,592.0,0.003883
0,0,255,255,255,596.0,0.004046
0,0,255,255,255,600.0,0.004067
0,0,255,255,255,604.0,0.003961
0,0,255,255,255,608.0,0.003704
0,0,255,255,255,612.0,0.003341
0,0,255,255,255,616.0,0.002999
0,0,255,255,255,620.0,0.002684
0,0,255,255,255,624.0,0.002418
0,0,255,255,255,628.0,0.002171
0,0,255,255,255,632.0,0.001973
0,0,255,255,255,636.0,0.001787
0,0,255,255,255,640.0,0.001617
0,0,255,255,255,644.0,0.001463
0,0,255,255,255,648.0,0.00129
0,0,255,255,255,652.0,0.001162
0,0,255,255,255,656.0,0.001038
0,0,255,255,255,660.0,0.0009283
0,0,255,255,255,664.0,0.0008117
0,0,255,255,255,668.0,0.0007249
0,0,255,255,255,672.0,0.000624
0,0,255,255,255,676.0,0.0005556
0,0,255,255,255,680.0,0.0004834
0,0,255,255,255,684.0,0.00041
0,0,255,255,255,688.0,0.0003565
0,0,255,255,255,692.0,0.0003072
0,0,255,255,255,696.0,0.0002679
0,0,255,255,255,700.0,0.0002373
0,0,255,255,255,704.0,0.0002078
0,0,255,255,255,708.0,0.0001821
0,0,255,255,255,712.0,0.0001584
0,0,255,255,255,716.0,0.0001537
0,0,255,255,255,720.0,0.0001253
0,0,255,255,255,724.0,0.0001041
0,0,255,255,255,728.0,8.392e-05
0,0,255,255,255,732.0,7.691e-05
0,0,255,255,255,736.0,5.334e-05
0,0,255,255,255,740.0,3.945e-05
0,0,255,255,255,744.0,2.485e-05
0,0,255,255,255,748.0,2.258e-05
0,0,255,255,255,752.0,7.118e-05
0,0,255,255,255,756.0,4.321e-05
0,0,255,255,255,760.0,7.538e-05
0,0,255,255,255,764.0,3.341e-05
0,0,255,255,255,768.0,6.252e-05
0,0,255,255,255,772.0,5.734e-05
0,0,255,255,255,776.0,4.549e-05
0,0,255,255,255,780.0,7.527e-05
0,1,0,0,0,384.0,1.103e-27
0,1,0,0,0,388.0,4.239e-08
0,1,0,0,0,392.0,9.841e-08
0,1,0,0,0,396.0,2.172e-07
0,1,0,0,0,400.0,8.309e-07
0,1,0,0,0,404.0,1.417e-06
0,1,0,0,0,408.0,1.521e-06
0,1,0,0,0,412.0,1.763e-06
