rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,1.066e-05
0,0,255,255,255,388.0,7.359e-06
0,0,255,255,255,392.0,6.328e-06
0,0,255,255,255,396.0,9.359e-06
0,0,255,255,255,400.0,1.951e-05
0,0,255,255,255,404.0,1.394e-05
0,0,255,255,255,408.0,3.016e-05
0,0,255,255,255,412.0,4.842e-05
0,0,255,255,255,416.0,0.0001053
0,0,255,255,255,420.0,0.0002487
0,0,255,255,255,424.0,0.0005829
0,0,255,255,255,428.0,0.001231
0,0,255,255,255,432.0,0.002451
0,0,255,255,255,436.0,0.004876
0,0,255,255,255,440.0,0.009048
0,0,255,255,255,444.0,0.01385
0,0,255,255,255,448.0,0.01584
0,0,255,255,255,452.0,0.01347
0,0,255,255,255,456.0,0.009662
0,0,255,255,255,460.0,0.007327
0,0,255,255,255,464.0,0.005431
0,0,255,255,255,468.0,0.003788
0,0,255,255,255,472.0,0.002705
0,0,255,255,255,476.0,0.002183
0,0,255,255,255,480.0,0.00191
0,0,255,255,255,484.0,0.001631
0,0,255,255,255,488.0,0.001496
0,0,255,255,255,492.0,0.001499
0,0,255,255,255,496.0,0.001626
0,0,255,255,255,500.0,0.001834
0,0,255,255,255,504.0,0.002124
0,0,255,255,255,508.0,0.002475
0,0,255,255,255,512.0,0.002849
0,0,255,255,255,516.0,0.003256
0,0,255,255,255,520.0,0.003698
0,0,255,255,255,524.0,0.004102
0,0,255,255,255,528.0,0.004473
0,0,255,255,255,532.0,0.004799
0,0,255,255,255,536.0,0.00494
0,0,255,255,255,540.0,0.004912
0,0,255,255,255,544.0,0.004935
0,0,255,255,255,548.0,0.004966
0,0,255,255,255,552.0,0.004892
0,0,255,255,255,556.0,0.004742
0,0,255,255,255,560.0,0.004607
0,0,255,255,255,564.0,0.004457
0,0,255,255,255,568.0,0.004178
0,0,255,255,255,572.0,0.003684
0,0,255,255,255,576.0,0.003254
0,0,255,255,255,580.0,0.003053
0,0,255,255,255,584.0,0.003063
