rep,id,r,g,b,nm,power
0,0,0,0,0,384.0,1.092e-06
0,0,0,0,0,388.0,1.101e-06
0,0,0,0,0,392.0,1.349e-06
0,0,0,0,0,396.0,1.617e-06
0,0,0,0,0,400.0,2.699e-06
0,0,0,0,0,404.0,4.095e-06
0,0,0,0,0,408.0,4.695e-06
0,0,0,0,0,412.0,5.133e-06
0,0,0,0,0,416.0,4.597e-06
0,0,0,0,0,420.0,4.924e-06
0,0,0,0,0,424.0,4.758e-06
0,0,0,0,0,428.0,4.503e-06
0,0,0,0,0,432.0,4.281e-06
0,0,0,0,0,436.0,4.312e-06
0,0,0,0,0,440.0,4.697e-06
0,0,0,0,0,444.0,5.062e-06
0,0,0,0,0,448.0,5.262e-06
0,0,0,0,0,452.0,4.889e-06
0,0,0,0,0,456.0,5.027e-06
0,0,0,0,0,460.0,5.141e-06
0,0,0,0,0,464.0,5.316e-06
0,0,0,0,0,468.0,5.108e-06
0,0,0,0,0,472.0,5.294e-06
0,0,0,0,0,476.0,5.386e-06
0,0,0,0,0,480.0,4.893e-06
0,0,0,0,0,484.0,4.626e-06
0,0,0,0,0,488.0,4.578e-06
0,0,0,0,0,492.0,4.757e-06
0,0,0,0,0,496.0,4.725e-06
0,0,0,0,0,500.0,4.721e-06
0,0,0,0,0,504.0,4.757e-06
0,0,0,0,0,508.0,4.431e-06
0,0,0,0,0,512.0,4.119e-06
0,0,0,0,0,516.0,3.797e-06
0,0,0,0,0,520.0,3.621e-06
0,0,0,0,0,524.0,3.764e-06
0,0,0,0,0,528.0,3.856e-06
0,0,0,0,0,532.0,4.022e-06
0,0,0,0,0,536.0,3.686e-06
0,0,0,0,0,540.0,3.794e-06
0,0,0,0,0,544.0,3.668e-06
0,0,0,0,0,548.0,3.496e-06
0,0,0,0,0,552.0,3.152e-06
0,0,0,0,0,556.0,3.336e-06
0,0,0,0,0,560.0,3.408e-06
0,0,0,0,0,564.0,3.547e-06
0,0,0,0,0,568.0,3.246e-06
0,0,0,0,0,572.0,3.239e-06
0,0,0,0,0,576.0,2.845e-06
0,0,0,0,0,580.0,2.773e-06
0,0,0,0,0,584.0,2.32e-06
0,0,0,0,0,588.0,2.43e-06
0,0,0,0,0,592.0,2.27e-06
0,0,0,0,0,596.0,2.556e-06
0,0,0,0,0,600.0,2.472e-06
0,0,0,0,0,604.0,2.894e-06
0,0,0,0,0,608.0,2.942e-06
0,0,0,0,0,612.0,2.82e-06
0,0,0,0,0,616.0,3.072e-06
0,0,0,0,0,620.0,2.972e-06
0,0,0,0,0,624.0,2.707e-06
0,0,0,0,0,628.0,2.376e-06
0,0,0,0,0,632.0,2.348e-06
0,0,0,0,0,636.0,2.311e-06
0,0,0,0,0,640.0,2.41e-06
0,0,0,0,0,644.0,2.257e-06
0,0,0,0,0,648.0,2.25e-06
0,0,0,0,0,652.0,2.434e-06
0,0,0,0,0,656.0,2.347e-06
0,0,0,0,0,660.0,2.428e-06
0,0,0,0,0,664.0,2.292e-06
0,0,0,0,0,668.0,2.118e-06
0,0,0,0,0,672.0,2.211e-06
0,0,0,0,0,676.0,1.83e-06
0,0,0,0,0,680.0,2.106e-06
0,0,0,0,0,684.0,1.528e-06
0,0,0,0,0,688.0,8.555e-07
0,0,0,0,0,692.0,1.799e-06
0,0,0,0,0,696.0,1.822e-06
0,0,0,0,0,700.0,1.728e-06
0,0,0,0,0,704.0,1.142e-06
0,0,0,0,0,708.0,2.349e-06
0,0,0,0,0,712.0,2.92e-06
0,0,0,0,0,716.0,2.491e-06
0,0,0,0,0,720.0,2.423e-06
0,0,0,0,0,724.0,3.045e-06
0,0,0,0,0,728.0,3.256e-06
0,0,0,0,0,732.0,4.647e-06
0,0,0,0,0,736.0,5.074e-06
0,0,0,0,0,740.0,5.651e-06
0,0,0,0,0,744.0,5.636e-06
0,0,0,0,0,748.0,7.211e-06
0,0,0,0,0,752.0,7.881e-06
0,0,0,0,0,756.0,7.68e-06
