ID	R	G	B
1	0	0	0
2	52	0	0
3	104	0	0
4	156	0	0
5	208	0	0
6	26	45	0
7	78	45	0
8	130	45	0
9	182	45	0
10	234	45	0
11	0	90	0
12	52	90	0
13	104	90	0
14	156	90	0
15	208	90	0
16	26	135	0
17	78	135	0
18	130	135	0
19	182	135	0
20	234	135	0
21	0	180	0
22	52	180	0
23	104	180	0
24	156	180	0
25	208	180	0
26	26	225	0
27	78	225	0
28	130	225	0
29	182	225	0
30	234	225	0
31	26	15	64
32	78	15	64
33	130	15	64
34	182	15	64
35	234	15	64
36	52	60	64
37	104	60	64
38	156	60	64
39	208	60	64
40	26	105	64
41	78	105	64
42	130	105	64
43	182	105	64
44	234	105	64
45	52	150	64
46	104	150	64
47	156	150	64
48	208	150	64
49	26	195	64
50	78	195	64
51	130	195	64
52	182	195	64
53	234	195	64
54	52	240	64
55	104	240	64
56	156	240	64
57	208	240	64
58	0	0	128
59	52	0	128
60	104	0	128
61	156	0	128
62	208	0	128
63	26	45	128
64	78	45	128
65	130	45	128
66	182	45	128
67	234	45	128
68	0	90	128
69	52	90	128
70	104	90	128
71	156	90	128
72	208	90	128
73	26	135	128
74	78	135	128
75	130	135	128
76	182	135	128
77	234	135	128
78	0	180	128
79	52	180	128
80	104	180	128
81	156	180	128
82	208	180	128
83	26	225	128
84	78	225	128
85	130	225	128
86	182	225	128
87	234	225	128
88	26	15	191
89	78	15	191
90	130	15	191
91	182	15	191
92	234	15	191
93	52	60	191
94	104	60	191
95	156	60	191
96	208	60	191
97	26	105	191
98	78	105	191
99	130	105	191
100	182	105	191
101	234	105	191
102	52	150	191
103	104	150	191
104	156	150	191
105	208	150	191
106	26	195	191
107	78	195	191
108	130	195	191
109	182	195	191
110	234	195	191
111	52	240	191
112	104	240	191
113	156	240	191
114	208	240	191
115	0	0	255
116	52	0	255
117	104	0	255
118	156	0	255
119	208	0	255
120	26	45	255
121	78	45	255
122	130	45	255
123	182	45	255
124	234	45	255
125	0	90	255
126	52	90	255
127	104	90	255
128	156	90	255
129	208	90	255
130	26	135	255
131	78	135	255
132	130	135	255
133	182	135	255
134	234	135	255
135	0	180	255
136	52	180	255
137	104	180	255
138	156	180	255
139	208	180	255
140	26	225	255
141	78	225	255
142	130	225	255
143	182	225	255
144	234	225	255
145	255	255	255
