id	r	g	b
0	168	167	201
1	131	98	128
2	130	99	121
3	128	99	115
4	126	100	109
5	123	101	103
6	120	103	97
7	116	104	93
8	113	106	91
9	108	107	90
10	104	109	90
11	99	110	92
12	95	111	95
13	91	112	99
14	87	113	104
15	84	114	111
16	82	115	117
17	80	115	123
18	79	116	129
19	79	116	135
20	80	115	141
21	82	115	145
22	85	114	150
23	89	113	154
24	93	112	158
25	99	111	161
26	104	109	162
27	109	108	163
28	114	106	163
29	118	104	162
30	122	103	160
31	125	101	158
32	128	100	154
33	130	99	149
34	131	98	144
35	132	98	139
36	132	98	133
37	138	105	136
38	137	106	130
39	135	107	123
40	133	108	117
41	130	109	112
42	127	110	107
43	123	112	102
44	119	113	100
45	115	114	99
46	111	116	99
47	106	117	101
48	102	118	104
49	98	119	108
50	95	120	114
51	91	121	119
52	89	122	126
53	87	122	131
54	86	123	137
55	86	123	144
56	87	122	149
57	89	122	154
58	92	121	158
59	96	120	162
60	101	119	166
61	106	118	169
62	111	116	170
63	116	115	171
64	121	113	171
65	125	112	170
66	129	110	168
67	132	109	166
68	134	107	162
69	136	106	158
70	138	106	152
71	138	105	147
72	138	105	142
73	144	113	144
74	143	113	137
75	141	114	131
76	139	114	126
77	136	115	120
78	133	117	115
79	130	118	111
80	126	119	109
81	122	121	107
82	117	122	108
83	113	123	110
84	109	125	113
85	105	126	116
86	101	127	122
87	98	128	128
88	96	128	133
89	94	129	139
90	93	129	145
91	93	129	151
92	94	129	156
93	96	128	161
94	99	128	166
95	103	127	170
96	108	126	174
97	113	124	176
98	118	123	178
99	122	121	179
100	127	120	179
101	131	118	178
102	135	117	176
103	138	115	173
104	141	114	169
105	143	113	165
106	144	113	160
107	145	112	155
108	145	112	149
109	150	118	150
110	149	119	145
111	147	120	139
112	145	121	133
113	143	122	128
114	139	123	123
115	135	124	119
116	132	126	116
117	128	127	115
118	124	128	115
119	119	130	117
120	115	131	120
121	112	132	124
122	108	133	129
123	105	133	134
124	102	134	140
125	100	134	146
126	99	135	152
127	100	135	158
128	101	134	163
129	103	134	168
130	106	133	173
131	110	132	177
132	114	131	180
133	119	130	183
134	124	129	185
135	129	127	186
136	133	126	186
137	137	124	185
138	141	123	183
139	144	121	180
140	146	120	177
141	148	119	172
142	150	119	167
143	150	118	162
144	150	118	156
145	156	124	157
146	154	125	151
147	153	126	145
148	151	127	140
149	148	128	134
150	145	129	130
151	141	130	126
152	137	131	123
153	133	132	122
154	129	134	123
155	125	135	124
156	121	136	127
157	117	137	131
158	114	138	136
159	111	139	142
160	108	140	147
161	107	140	153
162	106	140	159
163	106	140	165
164	107	140	170
165	109	140	175
166	112	139	180
167	116	138	184
168	120	137	187
169	125	135	190
170	130	134	192
171	134	133	192
172	138	131	192
173	143	130	191
174	146	129	190
175	149	127	187
176	152	126	183
177	154	125	179
178	155	125	174
179	156	124	169
180	156	124	163
181	161	130	164
182	160	130	158
183	158	131	152
184	156	132	146
185	153	133	141
186	150	134	136
187	146	135	132
188	143	137	130
189	138	138	129
190	134	139	129
191	131	140	131
192	127	142	134
193	123	143	137
194	119	144	143
195	116	144	148
196	114	145	154
197	113	145	160
198	112	146	165
199	112	145	171
200	113	145	177
201	115	145	181
202	118	144	186
203	121	143	190
204	126	142	193
205	130	141	196
206	135	139	198
207	139	138	199
208	144	136	199
209	148	135	198
210	151	134	196
211	154	132	193
212	157	131	190
213	159	130	185
214	161	130	180
215	161	130	175
216	162	130	169
217	166	135	170
218	165	135	164
219	163	136	158
220	161	137	152
221	159	138	147
222	155	139	143
223	151	140	139
224	147	142	136
225	144	143	135
226	139	144	136
227	135	146	137
228	132	147	140
229	128	148	144
230	125	149	148
231	122	149	154
232	119	150	160
233	118	150	165
234	117	150	171
235	117	150	177
236	118	150	182
237	120	150	187
238	123	149	192
239	127	148	196
240	131	147	199
241	135	146	202
242	140	145	204
243	144	143	205
244	149	142	205
245	153	140	204
246	156	139	202
247	159	137	199
248	162	136	196
249	164	135	191
250	166	135	186
251	166	134	181
252	166	134	176
253	171	140	176
254	170	140	170
255	168	141	164
256	166	142	158
257	163	143	153
258	160	144	148
259	156	145	145
260	152	147	143
261	148	148	141
262	144	149	142
263	140	150	143
264	137	151	146
265	133	152	150
266	130	153	154
267	127	154	160
268	124	155	165
269	123	155	171
270	122	155	177
271	122	155	183
272	123	155	188
273	126	154	193
274	128	154	198
275	132	153	202
276	136	152	205
277	140	150	208
278	145	149	210
279	149	148	211
280	153	146	211
281	157	145	210
282	161	144	208
283	164	143	205
284	167	141	201
285	169	140	197
286	171	140	192
287	171	139	187
288	171	139	181
289	176	144	181
290	175	145	175
291	173	146	169
292	171	146	164
293	168	147	159
294	165	149	154
295	161	150	150
296	157	151	148
297	153	153	147
298	149	154	147
299	145	155	149
300	141	156	152
301	138	157	155
302	134	158	160
303	131	159	165
304	129	160	171
305	128	160	177
306	127	160	183
307	127	160	189
308	128	160	194
309	130	159	199
310	133	159	203
311	136	158	208
312	140	156	211
313	145	155	214
314	149	154	216
315	154	152	216
316	158	151	216
317	162	149	215
318	166	148	214
319	169	147	211
320	172	146	207
321	174	145	203
322	175	144	198
323	176	144	192
324	176	144	187
325	180	149	186
326	179	149	181
327	178	150	175
328	176	151	169
329	173	152	164
330	170	153	160
331	166	155	156
332	162	156	154
333	158	158	153
334	154	159	153
335	150	160	154
336	146	161	157
337	142	162	161
338	139	163	165
339	136	163	171
340	133	164	176
341	132	164	182
342	131	164	188
343	132	164	194
344	133	164	199
345	135	164	204
346	137	163	209
347	141	162	213
348	145	161	217
349	149	160	219
350	154	158	221
351	158	157	222
352	162	155	222
353	166	154	221
354	170	153	219
355	173	151	216
356	176	150	213
357	178	149	208
358	180	149	203
359	180	149	198
360	181	149	192
361	185	153	192
362	184	154	186
363	182	154	180
364	180	155	175
365	177	157	169
366	174	158	165
367	170	159	161
368	166	161	159
369	162	162	158
370	158	163	158
371	154	164	160
372	150	165	162
373	147	166	166
374	143	167	170
375	140	168	176
376	138	168	181
377	136	169	187
378	136	169	193
379	136	169	199
380	137	168	204
381	139	168	209
382	142	167	214
383	145	166	218
384	149	165	222
385	154	164	225
386	158	163	227
387	162	161	228
388	167	160	227
389	171	158	226
390	174	157	225
391	177	156	222
392	180	155	218
393	182	154	213
394	184	153	208
395	185	153	203
396	185	153	197
397	189	157	197
398	188	158	191
399	186	159	185
400	184	160	179
401	182	161	175
402	178	162	170
403	175	164	166
404	171	165	164
405	167	166	163
406	163	168	163
407	159	169	165
408	154	170	167
409	151	170	171
410	147	171	176
411	144	172	181
412	142	173	186
413	141	173	192
414	140	173	198
415	140	173	204
416	141	173	209
417	143	172	214
418	146	171	219
419	149	170	224
420	153	169	227
421	158	168	230
422	162	167	232
423	167	165	233
424	171	164	233
425	175	163	232
426	178	161	230
427	181	160	227
428	184	159	223
429	187	158	219
430	188	157	213
431	189	157	208
432	189	157	202
433	193	162	201
434	192	162	196
435	191	163	190
436	188	164	184
437	186	165	179
438	182	166	175
439	179	168	171
440	175	169	169
441	171	171	168
442	167	172	168
443	163	173	170
444	159	174	172
445	155	175	176
446	151	176	180
447	148	176	185
448	146	177	191
449	145	177	197
450	144	177	203
451	144	177	209
452	145	177	214
453	147	176	219
454	150	176	224
455	153	175	229
456	157	174	232
457	162	172	235
458	166	171	237
459	171	170	238
460	175	168	238
461	179	167	237
462	182	165	235
463	185	164	232
464	188	163	228
465	191	162	224
466	192	162	218
467	193	161	213
468	193	161	207
469	197	165	206
470	196	166	200
471	194	167	194
472	192	168	189
473	190	169	184
474	187	171	180
475	183	172	176
476	179	174	174
477	175	175	173
478	171	176	173
479	167	177	175
480	163	178	177
481	159	179	180
482	155	179	185
483	152	180	190
484	150	180	196
485	148	181	202
486	148	181	208
487	148	181	214
488	149	180	219
489	151	180	224
490	154	179	229
491	157	178	233
492	161	177	237
493	166	176	240
494	170	175	242
495	175	174	243
496	179	172	243
497	183	171	242
498	186	169	240
499	189	168	237
500	192	167	233
501	194	166	228
502	196	165	223
503	197	165	218
504	197	165	212
505	200	169	211
506	199	170	205
507	198	171	199
508	196	172	194
509	194	173	189
510	191	175	184
511	187	176	181
512	183	178	179
513	179	179	178
514	175	180	178
515	171	181	179
516	166	182	181
517	163	182	185
518	159	183	190
519	156	184	195
520	154	184	200
521	152	185	206
522	152	185	212
523	152	184	218
524	153	184	224
525	155	184	229
526	158	183	234
527	161	182	238
528	165	181	242
529	169	180	245
530	174	179	247
531	178	177	248
532	182	176	248
533	186	175	246
534	190	173	245
535	193	172	242
536	196	171	238
537	198	170	233
538	200	169	228
539	200	169	223
540	201	169	217
541	204	173	215
542	203	174	209
543	202	175	204
544	200	176	198
545	197	177	193
546	194	178	189
547	191	180	185
548	187	181	183
549	183	183	182
550	179	184	182
551	175	185	183
552	170	185	186
553	166	186	189
554	163	187	194
555	160	188	199
556	158	188	205
557	156	188	211
558	155	188	217
559	156	188	223
560	157	188	228
561	159	187	234
562	161	187	239
563	165	186	243
564	169	185	247
565	173	184	250
566	178	182	251
567	182	181	252
568	186	180	252
569	190	178	251
570	194	177	249
571	197	176	247
572	199	175	243
573	202	174	238
574	203	173	233
575	204	173	227
576	204	173	221
577	208	177	220
578	207	178	214
579	205	178	208
580	203	179	202
581	201	181	197
582	198	182	193
583	195	184	190
584	191	185	187
585	187	187	186
586	182	188	186
587	178	188	188
588	174	189	190
589	170	190	194
590	166	191	198
591	163	191	203
592	161	192	209
593	160	192	215
594	159	192	221
595	159	192	228
596	160	192	233
597	162	191	238
598	165	190	243
599	168	190	247
600	172	188	251
601	177	187	254
602	181	186	255
603	186	185	255
604	190	183	255
605	194	182	255
606	197	180	254
607	200	179	251
608	203	178	247
609	205	177	242
610	207	177	237
611	208	177	232
612	208	177	226
613	211	180	224
614	210	181	218
615	209	182	212
616	207	183	207
617	205	184	202
618	202	186	197
619	198	187	194
620	195	189	192
621	191	190	191
622	186	191	191
623	182	192	192
624	178	193	194
625	174	194	198
626	170	194	202
627	167	195	208
628	165	195	213
629	163	195	220
630	163	195	226
631	163	195	232
632	164	195	237
633	166	194	243
634	168	194	248
635	172	193	252
636	176	192	255
637	180	191	255
638	185	190	255
639	189	188	255
640	193	187	255
641	197	185	255
642	200	184	255
643	204	183	255
644	207	182	252
645	209	181	247
