ID	R	G	B
0	0	0	0
1	26	25	21
2	35	33	29
3	41	40	35
4	46	45	40
5	51	49	44
6	55	53	48
7	58	57	51
8	62	60	54
9	65	63	57
10	68	66	60
11	70	68	63
12	73	71	65
13	75	73	68
14	78	76	70
15	80	78	72
16	82	80	74
17	84	82	76
18	86	84	78
19	88	86	80
20	90	88	82
21	92	90	84
22	93	91	85
23	95	93	87
24	97	95	89
25	98	96	90
26	100	98	92
27	102	100	94
28	103	101	95
29	105	103	97
30	106	104	98
31	108	105	100
32	109	107	101
33	110	108	102
34	112	110	104
35	113	111	105
36	114	112	106
37	116	114	108
38	117	115	109
39	118	116	110
40	119	117	112
41	121	119	113
42	122	120	114
43	123	121	115
44	124	122	116
45	125	123	118
46	126	124	119
47	128	126	120
48	129	127	121
49	130	128	122
50	131	129	123
51	132	130	124
52	133	131	125
53	134	132	126
54	135	133	128
55	136	134	129
56	137	135	130
57	138	136	131
58	139	137	132
59	140	138	133
60	141	139	134
61	142	140	135
62	143	141	136
63	144	142	137
64	145	143	138
65	146	144	139
66	147	145	139
67	147	146	140
68	148	147	141
69	149	147	142
70	150	148	143
71	151	149	144
72	152	150	145
73	153	151	146
74	154	152	147
75	154	153	148
76	155	154	149
77	156	154	149
78	157	155	150
79	158	156	151
80	159	157	152
81	159	158	153
82	160	159	154
83	161	159	154
84	162	160	155
85	163	161	156
86	163	162	157
87	164	163	158
88	165	163	159
89	166	164	159
90	166	165	160
91	167	166	161
92	168	166	162
93	169	167	163
94	169	168	163
95	170	169	164
96	171	169	165
97	172	170	166
98	172	171	166
99	173	172	167
100	174	172	168
101	174	173	169
102	175	174	169
103	176	174	170
104	177	175	171
105	177	176	172
106	178	177	172
107	179	177	173
108	179	178	174
109	180	179	174
110	181	179	175
111	181	180	176
112	182	181	177
113	183	181	177
114	183	182	178
115	184	183	179
116	185	183	179
117	185	184	180
118	186	185	181
119	187	185	181
120	187	186	182
121	188	187	183
122	189	187	183
123	189	188	184
124	190	189	185
125	190	189	185
126	191	190	186
127	192	190	187
128	192	191	187
129	193	192	188
130	194	192	189
131	194	193	189
132	195	194	190
133	195	194	191
134	196	195	191
135	197	195	192
136	197	196	193
137	198	197	193
138	198	197	194
139	199	198	194
140	199	198	195
141	200	199	196
142	201	200	196
143	201	200	197
144	202	201	198
145	202	201	198
146	203	202	199
147	203	202	199
148	204	203	200
149	205	204	201
150	205	204	201
151	206	205	202
152	206	205	202
153	207	206	203
154	207	206	204
155	208	207	204
156	209	208	205
157	209	208	205
158	210	209	206
159	210	209	207
160	211	210	207
161	211	210	208
162	212	211	208
163	212	211	209
164	213	212	209
165	213	212	210
166	214	213	211
167	214	214	211
168	215	214	212
169	215	215	212
170	216	215	213
171	216	216	213
172	217	216	214
173	218	217	214
174	218	217	215
175	219	218	216
176	219	218	216
177	220	219	217
178	220	219	217
179	221	220	218
180	221	220	218
181	222	221	219
182	222	221	219
183	223	222	220
184	223	222	220
185	224	223	221
186	224	223	221
187	225	224	222
188	225	224	223
189	226	225	223
190	226	225	224
191	227	226	224
192	227	226	225
193	228	227	225
194	228	227	226
195	228	228	226
196	229	228	227
197	229	229	227
198	230	229	228
199	230	230	228
200	231	230	229
201	231	231	229
202	232	231	230
203	232	232	230
204	233	232	231
205	233	233	231
206	234	233	232
207	234	234	232
208	235	234	233
209	235	235	233
210	236	235	234
211	236	236	234
212	236	236	235
213	237	236	235
214	237	237	236
215	238	237	236
216	238	238	237
217	239	238	237
218	239	239	238
219	240	239	238
220	240	240	239
221	240	240	239
222	241	241	240
223	241	241	240
224	242	242	241
225	242	242	241
226	243	242	242
227	243	243	242
228	244	243	243
229	244	244	243
230	244	244	244
231	245	245	244
232	245	245	244
233	246	246	245
234	246	246	245
235	247	246	246
236	247	247	246
237	247	247	247
238	248	248	247
239	248	248	248
240	249	249	248
241	249	249	249
242	250	249	249
243	250	250	250
244	250	250	250
245	251	251	250
246	251	251	251
247	252	252	251
248	252	252	252
249	253	252	252
250	253	253	253
251	253	253	253
252	254	254	254
253	254	254	254
254	255	255	255
255	255	255	255
