id	r	g	b
0	155	129	163
1	154	129	158
2	153	130	153
3	151	131	148
4	149	131	144
5	146	132	140
6	143	134	137
7	140	135	136
8	137	136	135
9	133	137	135
10	130	138	137
11	127	139	139
12	124	140	142
13	121	141	146
14	118	141	150
15	116	142	155
16	115	142	160
17	115	142	165
18	115	142	169
19	116	142	174
20	117	142	178
21	119	141	182
22	122	140	185
23	125	139	188
24	129	138	190
25	132	137	192
26	136	136	192
27	140	135	192
28	143	134	191
29	146	132	190
30	148	131	188
31	151	130	185
32	153	130	181
33	154	129	177
34	155	129	172
35	155	129	168
36	158	132	167
37	157	132	162
38	156	133	157
39	154	134	152
40	152	135	148
41	149	136	144
42	146	137	141
43	143	138	140
44	140	139	139
45	136	140	139
46	133	141	140
47	130	142	143
48	127	143	146
49	124	144	149
50	121	145	154
51	119	145	159
52	118	145	163
53	118	145	168
54	118	145	173
55	119	145	178
56	120	145	182
57	122	144	186
58	125	143	189
59	128	142	192
60	132	141	194
61	136	140	195
62	139	139	196
63	143	138	196
64	146	137	195
65	149	136	194
66	152	135	192
67	154	134	189
68	156	133	185
69	157	132	181
70	158	132	176
71	158	132	171
72	161	135	170
73	160	135	165
74	159	136	160
75	157	137	156
76	155	137	151
77	152	139	148
78	149	140	145
79	146	141	143
80	143	142	143
81	139	143	143
82	136	144	144
83	133	145	146
84	130	146	149
85	127	147	153
86	124	148	158
87	122	148	162
88	121	148	167
89	121	148	172
90	121	148	177
91	122	148	181
92	123	148	185
93	125	147	189
94	128	146	193
95	131	145	196
96	135	144	198
97	139	143	199
98	142	142	200
99	146	141	200
100	149	140	199
101	152	139	198
102	155	138	196
103	157	137	192
104	159	136	189
105	160	135	184
106	161	135	180
107	161	135	175
108	164	138	174
109	163	138	169
110	162	139	164
111	160	139	159
112	158	140	155
113	155	141	151
114	152	143	149
115	149	144	147
116	146	145	146
117	142	146	146
118	139	147	148
119	136	148	150
120	133	149	153
121	130	150	157
122	127	150	161
123	125	151	166
124	124	151	171
125	124	151	176
126	124	151	181
127	125	151	185
128	126	151	189
129	128	150	193
130	131	149	196
131	134	148	199
132	138	147	202
133	141	146	203
134	145	145	204
135	149	144	204
136	152	143	203
137	155	141	201
138	158	140	199
139	160	139	196
140	162	139	192
141	163	138	188
142	164	138	184
143	164	138	179
144	167	141	177
145	166	141	172
146	165	142	167
147	163	142	163
148	161	143	159
149	158	144	155
150	155	145	152
151	152	147	150
152	149	148	150
153	145	149	150
154	142	150	151
155	138	151	154
156	135	152	156
157	132	153	160
158	130	153	165
159	128	154	169
160	127	154	174
161	126	154	179
162	127	154	184
163	128	154	189
164	129	153	193
165	131	153	197
166	134	152	200
167	137	151	203
168	141	150	205
169	144	149	207
170	148	148	207
171	151	147	207
172	155	145	206
173	158	144	205
174	160	143	203
175	163	142	200
176	165	141	196
177	166	141	192
178	167	141	187
179	167	141	182
180	170	143	181
181	169	144	176
182	168	144	171
183	166	145	166
184	164	146	162
185	161	147	158
186	158	148	156
187	155	149	154
188	151	150	153
