id	r	g	b
0	174	174	173
1	131	99	103
2	130	100	96
3	128	100	89
4	127	101	82
5	124	103	75
6	121	104	69
7	117	105	64
8	114	107	61
9	110	108	59
10	106	110	60
11	101	111	63
12	97	112	66
13	93	113	71
14	89	114	78
15	86	115	84
16	83	115	91
17	81	116	99
18	81	116	106
19	81	116	113
20	81	115	119
21	83	115	125
22	86	114	130
23	90	114	134
24	94	113	138
25	99	111	141
26	104	110	142
27	109	108	143
28	114	107	143
29	118	105	142
30	121	103	140
31	124	102	137
32	127	101	133
33	129	100	129
34	130	99	123
35	131	99	117
36	131	99	111
37	139	109	113
38	138	109	106
39	137	110	98
40	135	111	91
41	133	112	84
42	130	113	79
43	127	115	74
44	123	116	70
45	119	117	69
46	115	118	69
47	111	120	72
48	107	121	76
49	103	122	81
50	99	123	87
51	95	124	94
52	93	124	101
53	91	125	109
54	90	125	116
55	90	125	122
56	91	125	128
57	93	124	134
58	96	123	139
59	99	123	143
60	104	121	147
61	109	120	149
62	114	119	151
63	118	117	152
64	122	116	152
65	127	114	151
66	130	113	149
67	133	112	146
68	135	111	142
69	138	110	137
70	139	109	132
71	140	109	126
72	140	109	120
73	147	117	122
74	146	118	114
75	145	118	107
76	143	119	100
77	141	120	93
78	138	121	87
79	134	123	82
80	131	124	79
81	127	126	78
82	123	127	78
83	119	128	80
84	115	129	84
85	112	130	89
86	107	131	95
87	104	132	102
88	101	132	110
89	100	133	117
90	99	133	124
91	99	133	131
92	100	132	136
93	102	132	142
94	105	131	147
95	109	131	151
96	113	130	155
97	117	128	158
98	122	127	159
99	127	126	160
100	130	124	160
101	134	123	159
102	138	121	157
103	141	120	154
104	144	119	150
105	145	118	146
106	147	117	140
107	147	117	134
108	148	117	128
109	154	125	129
110	154	125	122
111	152	126	115
112	150	127	108
113	148	128	101
114	145	129	95
115	142	130	90
116	138	131	87
117	134	133	86
118	131	134	86
119	127	135	88
120	123	136	92
121	119	137	97
122	115	138	103
123	112	139	111
124	110	140	118
125	108	140	125
126	107	140	132
127	107	140	138
128	108	140	144
129	110	139	149
130	113	139	154
131	116	138	159
132	120	137	162
133	125	135	165
134	129	134	167
135	133	133	168
136	138	131	167
137	142	130	166
138	145	129	164
139	148	128	162
140	150	127	158
141	153	126	153
142	154	125	148
143	155	125	142
144	155	125	136
145	161	132	136
146	160	132	129
147	159	133	122
148	157	133	115
149	155	134	109
150	152	136	102
151	148	137	98
152	145	138	95
153	141	139	93
154	137	141	94
155	133	142	96
156	130	143	99
157	126	144	105
158	122	145	111
159	119	146	118
160	117	146	125
161	115	147	132
162	114	147	139
163	115	147	145
164	116	147	151
165	117	146	156
166	120	145	161
167	124	145	165
168	128	144	169
169	132	142	172
170	136	141	174
171	140	140	175
172	144	138	175
173	148	137	174
174	151	135	172
175	154	134	169
176	157	133	165
177	159	132	160
178	161	132	155
179	162	131	149
180	162	131	143
181	168	138	143
182	167	138	136
183	165	139	129
184	163	140	122
185	161	141	116
186	158	142	110
187	155	143	105
188	151	145	102
189	147	146	100
190	144	147	101
191	140	148	103
192	136	149	107
193	132	150	112
194	129	151	118
195	126	152	125
196	124	153	132
197	122	153	138
198	121	153	145
199	121	153	152
200	122	153	158
201	124	152	163
202	127	152	168
203	130	151	172
204	134	150	176
205	138	149	179
206	143	147	180
207	147	146	181
208	151	145	181
209	154	143	180
210	158	142	178
211	161	141	175
212	164	140	171
213	166	139	166
214	167	138	161
215	168	138	155
216	168	138	149
217	174	144	149
218	173	145	142
219	171	145	135
220	169	146	129
221	167	147	122
222	164	148	116
223	161	149	112
224	157	150	109
225	153	152	107
226	149	153	108
227	146	154	110
228	142	156	114
229	138	157	118
230	135	158	125
231	132	158	131
232	130	159	138
233	128	159	145
234	128	159	151
235	128	159	158
236	129	159	164
237	130	159	169
238	133	158	174
239	136	157	178
240	140	156	182
241	144	155	185
242	148	153	186
243	152	152	187
244	157	150	187
245	160	149	186
246	164	148	184
247	167	147	181
248	170	146	178
249	172	145	173
250	173	144	167
251	174	144	162
252	174	144	155
253	179	150	155
254	179	150	148
255	177	151	141
256	175	151	135
257	173	152	129
258	170	154	123
259	166	155	118
260	163	156	115
261	159	158	114
262	155	159	114
263	151	160	116
264	147	161	120
265	144	162	125
266	141	163	131
267	138	164	137
268	135	165	144
269	134	165	150
270	133	165	157
271	133	165	164
272	134	165	169
273	136	164	175
274	139	164	180
275	142	163	184
276	146	162	188
277	150	160	191
278	154	159	192
279	158	158	193
280	162	156	193
281	166	155	192
282	169	154	190
283	173	152	187
284	175	151	183
285	177	150	179
286	179	150	173
287	180	150	167
288	180	149	161
289	185	155	160
290	184	156	154
291	183	156	147
292	181	157	140
293	178	158	134
294	175	159	129
295	172	161	124
296	168	162	121
297	164	163	120
298	161	164	120
299	157	166	122
300	153	167	126
301	149	168	130
302	146	169	136
303	143	170	143
304	141	170	149
305	139	171	156
306	139	171	163
307	139	171	169
308	140	170	175
309	142	170	180
310	144	169	185
311	147	168	190
312	151	167	193
313	155	166	196
314	160	165	198
315	164	163	199
316	168	162	199
317	171	161	197
318	175	159	196
319	178	158	193
320	181	157	189
321	183	156	184
322	184	155	179
323	185	155	173
324	185	155	167
325	190	161	166
326	189	161	159
327	188	162	152
328	186	162	146
329	183	163	140
330	180	164	134
331	177	166	130
332	174	167	127
333	170	168	126
334	166	170	126
335	162	171	128
336	158	172	131
337	154	173	136
338	151	174	142
339	148	175	148
340	146	176	155
341	145	176	161
342	144	176	168
343	144	176	175
344	145	176	180
345	147	175	186
346	149	175	191
347	152	174	195
348	156	173	199
349	161	171	201
350	165	170	203
351	169	168	204
352	173	167	204
353	177	166	203
354	180	164	201
355	183	163	198
356	186	162	194
357	188	161	189
358	189	161	184
359	190	160	178
360	191	160	172
361	195	165	171
362	194	166	164
363	193	166	157
364	191	167	151
365	188	168	145
366	185	170	139
367	182	171	135
368	178	172	132
369	175	174	131
370	171	175	131
371	167	176	133
372	163	177	136
373	159	178	141
374	156	179	147
375	153	180	153
376	151	181	160
377	149	181	166
378	149	181	173
379	149	181	180
380	150	181	185
381	152	180	191
382	154	180	196
383	158	179	200
384	161	178	204
385	165	176	207
386	170	175	209
387	174	174	209
388	178	172	209
389	181	171	208
390	185	169	206
391	188	168	203
392	191	167	199
393	193	166	194
394	194	166	189
395	195	165	183
396	195	165	177
397	200	170	176
398	199	171	169
399	197	171	162
400	196	172	156
401	193	173	150
402	190	175	144
403	187	176	140
404	183	177	137
405	179	178	136
406	176	180	136
407	171	181	138
408	168	182	142
409	164	183	146
410	161	184	152
411	158	185	158
412	156	185	165
413	154	186	171
414	154	186	178
415	154	186	185
416	155	186	190
417	157	185	196
418	159	184	201
419	162	183	205
420	166	182	209
421	170	181	212
422	175	180	214
423	178	178	214
424	182	177	214
425	186	176	213
426	190	175	211
427	193	173	208
428	195	172	204
429	197	171	199
430	199	171	194
431	200	170	188
432	200	170	182
433	204	175	180
434	203	176	174
435	202	176	167
436	200	177	161
437	198	178	154
438	195	179	149
439	191	180	145
440	188	182	142
441	184	183	141
442	180	184	141
443	176	186	143
444	172	187	146
445	169	188	151
446	165	189	156
447	162	190	163
448	160	190	169
449	159	191	176
450	159	191	183
451	159	191	189
452	160	190	195
453	161	190	200
454	164	189	205
455	167	188	210
456	171	187	214
457	175	186	217
458	179	184	219
459	183	183	219
460	187	182	219
461	191	180	218
462	194	179	216
463	197	178	213
464	200	177	209
465	202	176	204
466	203	176	199
467	204	175	193
468	205	175	187
469	209	180	185
470	208	180	178
471	206	181	172
472	204	181	165
473	202	182	159
474	199	184	154
475	196	185	149
476	192	186	147
477	188	188	145
478	184	189	146
479	180	190	148
480	177	191	151
481	173	192	155
482	170	193	161
483	167	194	167
484	165	195	174
485	163	195	181
486	163	195	187
487	163	195	194
488	164	195	200
489	166	194	205
490	168	194	210
491	171	193	215
492	175	192	219
493	179	190	222
494	183	189	224
495	187	188	224
496	192	186	224
497	195	185	223
498	198	184	221
499	201	182	218
500	204	181	214
501	206	180	209
502	208	180	203
503	209	180	197
504	209	179	191
505	213	184	189
506	212	184	182
507	210	185	176
508	209	186	169
509	206	187	163
510	203	188	158
511	200	189	154
512	196	191	151
513	193	192	150
514	189	193	150
515	185	195	152
516	181	196	155
517	177	197	160
518	174	198	165
519	171	198	172
520	169	199	178
521	168	199	185
522	167	199	192
523	167	199	198
524	168	199	204
525	170	198	210
526	173	198	215
527	176	197	219
528	179	196	223
529	184	195	226
530	188	193	228
531	192	192	229
532	196	191	229
533	199	189	228
534	203	188	226
535	206	187	223
536	208	186	218
537	210	185	213
538	212	184	208
539	213	184	202
540	213	184	196
541	216	188	194
542	216	189	187
543	214	189	180
544	212	190	174
545	210	191	168
546	207	192	162
547	204	194	158
548	200	195	155
549	197	196	154
550	193	197	155
551	189	199	157
552	185	200	160
553	181	201	164
554	178	202	170
555	176	203	176
556	173	203	182
557	172	203	189
558	171	204	196
559	172	203	203
560	173	203	208
561	175	203	214
562	177	202	219
563	180	201	224
564	184	200	228
565	188	199	231
566	192	197	233
567	196	196	234
568	200	195	233
569	203	194	232
570	207	192	230
571	210	191	227
572	212	190	223
573	214	189	218
574	216	189	212
575	216	188	206
576	217	188	200
577	220	192	198
578	220	193	191
579	218	193	184
580	216	194	178
581	214	195	172
582	211	196	167
583	208	197	162
584	204	199	160
585	201	200	159
586	197	201	159
587	193	203	161
588	189	204	164
589	186	205	168
590	182	206	174
591	179	207	180
592	177	207	187
593	176	208	193
594	176	208	200
595	176	208	207
596	177	207	213
597	179	207	218
598	181	206	224
599	184	205	228
600	188	204	232
601	192	203	235
602	196	202	237
603	200	200	238
604	204	199	238
605	207	197	237
606	211	196	235
607	213	195	232
608	216	194	227
609	218	193	222
610	220	193	217
