rep,id,r,g,b,nm,power
0,1,255,0,0,384.0,1.16e-26
0,1,255,0,0,388.0,1.11e-26
0,1,255,0,0,392.0,1.043e-26
0,1,255,0,0,396.0,9.816e-27
0,1,255,0,0,400.0,9.155e-27
0,1,255,0,0,404.0,8.45e-27
0,1,255,0,0,408.0,1.804e-06
0,1,255,0,0,412.0,7.386e-06
0,1,255,0,0,416.0,3.707e-06
0,1,255,0,0,420.0,4.714e-06
0,1,255,0,0,424.0,9.141e-06
0,1,255,0,0,428.0,6.059e-06
0,1,255,0,0,432.0,4.903e-06
0,1,255,0,0,436.0,8.501e-06
0,1,255,0,0,440.0,1.163e-05
0,1,255,0,0,444.0,1.929e-05
0,1,255,0,0,448.0,2.348e-05
0,1,255,0,0,452.0,3.261e-05
0,1,255,0,0,456.0,3.401e-05
0,1,255,0,0,460.0,2.607e-05
0,1,255,0,0,464.0,2.339e-05
0,1,255,0,0,468.0,1.82e-05
0,1,255,0,0,472.0,1.771e-05
0,1,255,0,0,476.0,1.636e-05
0,1,255,0,0,480.0,1.664e-05
0,1,255,0,0,484.0,1.533e-05
0,1,255,0,0,488.0,1.862e-05
0,1,255,0,0,492.0,1.793e-05
0,1,255,0,0,496.0,1.917e-05
0,1,255,0,0,500.0,2.186e-05
0,1,255,0,0,504.0,2.577e-05
0,1,255,0,0,508.0,3.26e-05
0,1,255,0,0,512.0,4.146e-05
0,1,255,0,0,516.0,5.164e-05
0,1,255,0,0,520.0,6.053e-05
0,1,255,0,0,524.0,7e-05
0,1,255,0,0,528.0,7.998e-05
0,1,255,0,0,532.0,8.598e-05
0,1,255,0,0,536.0,8.834e-05
0,1,255,0,0,540.0,8.273e-05
0,1,255,0,0,544.0,7.888e-05
0,1,255,0,0,548.0,7.231e-05
0,1,255,0,0,552.0,6.225e-05
0,1,255,0,0,556.0,5.387e-05
0,1,255,0,0,560.0,4.127e-05
0,1,255,0,0,564.0,3.191e-05
0,1,255,0,0,568.0,2.466e-05
0,1,255,0,0,572.0,2.043e-05
0,1,255,0,0,576.0,3.259e-05
0,1,255,0,0,580.0,9.035e-05
0,1,255,0,0,584.0,0.0002119
0,1,255,0,0,588.0,0.0003638
0,1,255,0,0,592.0,0.0004824
0,1,255,0,0,596.0,0.0005821
0,1,255,0,0,600.0,0.0006783
0,1,255,0,0,604.0,0.00104
0,1,255,0,0,608.0,0.002571
0,1,255,0,0,612.0,0.005157
0,1,255,0,0,616.0,0.004546
0,1,255,0,0,620.0,0.00281
0,1,255,0,0,624.0,0.003169
0,1,255,0,0,628.0,0.009694
0,1,255,0,0,632.0,0.01464
0,1,255,0,0,636.0,0.009859
0,1,255,0,0,640.0,0.003366
0,1,255,0,0,644.0,0.001659
0,1,255,0,0,648.0,0.002108
0,1,255,0,0,652.0,0.001215
0,1,255,0,0,656.0,0.0005324
0,1,255,0,0,660.0,0.0002656
0,1,255,0,0,664.0,0.0001472
0,1,255,0,0,668.0,0.0001624
0,1,255,0,0,672.0,0.0001543
0,1,255,0,0,676.0,9.092e-05
0,1,255,0,0,680.0,5.253e-05
0,1,255,0,0,684.0,3.706e-05
0,1,255,0,0,688.0,3.01e-05
0,1,255,0,0,692.0,2.122e-05
0,1,255,0,0,696.0,1.76e-05
0,1,255,0,0,700.0,1.249e-05
0,1,255,0,0,704.0,3.292e-06
0,1,255,0,0,708.0,1.09e-06
0,1,255,0,0,712.0,1.752e-26
0,1,255,0,0,716.0,1.849e-26
0,1,255,0,0,720.0,1.96e-26
0,1,255,0,0,724.0,2.074e-26
0,1,255,0,0,728.0,2.204e-26
0,1,255,0,0,732.0,2.346e-26
0,1,255,0,0,736.0,2.531e-26
0,1,255,0,0,740.0,2.714e-26
0,1,255,0,0,744.0,2.924e-26
0,1,255,0,0,748.0,3.166e-26
0,1,255,0,0,752.0,3.45e-26
0,1,255,0,0,756.0,3.779e-26
0,1,255,0,0,760.0,4.139e-26
0,1,255,0,0,764.0,4.545e-26
0,1,255,0,0,768.0,4.99e-26
0,1,255,0,0,772.0,5.554e-26
0,1,255,0,0,776.0,6.18e-26
0,1,255,0,0,780.0,6.862e-26
0,2,0,255,0,384.0,8.566e-27
0,2,0,255,0,388.0,8.2e-27
0,2,0,255,0,392.0,7.698e-27
0,2,0,255,0,396.0,7.248e-27
0,2,0,255,0,400.0,1.486e-06
0,2,0,255,0,404.0,6.393e-06
0,2,0,255,0,408.0,9.823e-06
0,2,0,255,0,412.0,1.053e-05
0,2,0,255,0,416.0,1.125e-05
0,2,0,255,0,420.0,1.397e-05
0,2,0,255,0,424.0,1.238e-05
0,2,0,255,0,428.0,1.302e-05
0,2,0,255,0,432.0,1.144e-05
0,2,0,255,0,436.0,1.321e-05
0,2,0,255,0,440.0,1.655e-05
0,2,0,255,0,444.0,2.286e-05
0,2,0,255,0,448.0,3.091e-05
0,2,0,255,0,452.0,4.118e-05
0,2,0,255,0,456.0,4.177e-05
